ČR, kraje, okresy;Ukazatel;Institucionální sektor;Čtvrtletí;value
Česko;Počet ekonomických subjektů celkem;Národní hospodářství - rezidenti;4. čtvrtletí 2023;2800237
Česko;Počet ekonomických subjektů celkem;Národní hospodářství - rezidenti;3. čtvrtletí 2023;2792524
Česko;Počet ekonomických subjektů celkem;Národní hospodářství - rezidenti;2. čtvrtletí 2023;2788848
Česko;Počet ekonomických subjektů celkem;Národní hospodářství - rezidenti;1. čtvrtletí 2023;2834958
Česko;Počet ekonomických subjektů celkem;Národní hospodářství - rezidenti;4. čtvrtletí 2022;2996784
Česko;Počet ekonomických subjektů celkem;Národní hospodářství - rezidenti;3. čtvrtletí 2022;3007416
Česko;Počet ekonomických subjektů celkem;Národní hospodářství - rezidenti;2. čtvrtletí 2022;2996291
Česko;Počet ekonomických subjektů celkem;Národní hospodářství - rezidenti;1. čtvrtletí 2022;2985113
Česko;Počet ekonomických subjektů celkem;Národní hospodářství - rezidenti;4. čtvrtletí 2021;2976207
Česko;Počet ekonomických subjektů celkem;Národní hospodářství - rezidenti;3. čtvrtletí 2021;2963362
Česko;Počet ekonomických subjektů celkem;Národní hospodářství - rezidenti;2. čtvrtletí 2021;2952695
Česko;Počet ekonomických subjektů celkem;Národní hospodářství - rezidenti;1. čtvrtletí 2021;2940757
Česko;Počet ekonomických subjektů celkem;Nefinanční podniky;1. čtvrtletí 2025;599556
Česko;Počet ekonomických subjektů celkem;Nefinanční podniky;4. čtvrtletí 2024;595906
Česko;Počet ekonomických subjektů celkem;Nefinanční podniky;3. čtvrtletí 2024;592800
Česko;Počet ekonomických subjektů celkem;Nefinanční podniky;2. čtvrtletí 2024;590289
Česko;Počet ekonomických subjektů celkem;Nefinanční podniky;1. čtvrtletí 2024;587278
Česko;Počet ekonomických subjektů celkem;Nefinanční podniky;4. čtvrtletí 2023;582987
Česko;Počet ekonomických subjektů celkem;Nefinanční podniky;3. čtvrtletí 2023;579634
Česko;Počet ekonomických subjektů celkem;Nefinanční podniky;2. čtvrtletí 2023;577244
Česko;Počet ekonomických subjektů celkem;Nefinanční podniky;1. čtvrtletí 2023;573947
Česko;Počet ekonomických subjektů celkem;Nefinanční podniky;4. čtvrtletí 2022;570370
Česko;Počet ekonomických subjektů celkem;Nefinanční podniky;3. čtvrtletí 2022;567516
Česko;Počet ekonomických subjektů celkem;Nefinanční podniky;2. čtvrtletí 2022;564592
Česko;Počet ekonomických subjektů celkem;Nefinanční podniky;1. čtvrtletí 2022;560672
Česko;Počet ekonomických subjektů celkem;Nefinanční podniky;4. čtvrtletí 2021;557181
Česko;Počet ekonomických subjektů celkem;Nefinanční podniky;3. čtvrtletí 2021;553137
Česko;Počet ekonomických subjektů celkem;Nefinanční podniky;2. čtvrtletí 2021;550205
Česko;Počet ekonomických subjektů celkem;Nefinanční podniky;1. čtvrtletí 2021;545972
Česko;Počet ekonomických subjektů celkem;Finanční instituce;1. čtvrtletí 2025;6031
Česko;Počet ekonomických subjektů celkem;Finanční instituce;4. čtvrtletí 2024;5952
Česko;Počet ekonomických subjektů celkem;Finanční instituce;3. čtvrtletí 2024;5515
Česko;Počet ekonomických subjektů celkem;Finanční instituce;2. čtvrtletí 2024;5461
Česko;Počet ekonomických subjektů celkem;Finanční instituce;1. čtvrtletí 2024;5386
Česko;Počet ekonomických subjektů celkem;Finanční instituce;4. čtvrtletí 2023;5343
Česko;Počet ekonomických subjektů celkem;Finanční instituce;3. čtvrtletí 2023;5153
Česko;Počet ekonomických subjektů celkem;Finanční instituce;2. čtvrtletí 2023;5121
Česko;Počet ekonomických subjektů celkem;Finanční instituce;1. čtvrtletí 2023;5095
Česko;Počet ekonomických subjektů celkem;Finanční instituce;4. čtvrtletí 2022;5082
Česko;Počet ekonomických subjektů celkem;Finanční instituce;3. čtvrtletí 2022;4641
Česko;Počet ekonomických subjektů celkem;Finanční instituce;2. čtvrtletí 2022;4561
Česko;Počet ekonomických subjektů celkem;Finanční instituce;1. čtvrtletí 2022;4475
Česko;Počet ekonomických subjektů celkem;Finanční instituce;4. čtvrtletí 2021;4408
Česko;Počet ekonomických subjektů celkem;Finanční instituce;3. čtvrtletí 2021;4352
Česko;Počet ekonomických subjektů celkem;Finanční instituce;2. čtvrtletí 2021;4328
Česko;Počet ekonomických subjektů celkem;Finanční instituce;1. čtvrtletí 2021;4264
Česko;Počet ekonomických subjektů celkem;Vládní instituce;1. čtvrtletí 2025;18125
Česko;Počet ekonomických subjektů celkem;Vládní instituce;4. čtvrtletí 2024;18125
Česko;Počet ekonomických subjektů celkem;Vládní instituce;3. čtvrtletí 2024;18112
Česko;Počet ekonomických subjektů celkem;Vládní instituce;2. čtvrtletí 2024;18119
Česko;Počet ekonomických subjektů celkem;Vládní instituce;1. čtvrtletí 2024;18116
Česko;Počet ekonomických subjektů celkem;Vládní instituce;4. čtvrtletí 2023;18142
Česko;Počet ekonomických subjektů celkem;Vládní instituce;3. čtvrtletí 2023;18131
Česko;Počet ekonomických subjektů celkem;Vládní instituce;2. čtvrtletí 2023;18133
Česko;Počet ekonomických subjektů celkem;Vládní instituce;1. čtvrtletí 2023;18124
Česko;Počet ekonomických subjektů celkem;Vládní instituce;4. čtvrtletí 2022;18133
Česko;Počet ekonomických subjektů celkem;Vládní instituce;3. čtvrtletí 2022;18086
Česko;Počet ekonomických subjektů celkem;Vládní instituce;2. čtvrtletí 2022;18090
Česko;Počet ekonomických subjektů celkem;Vládní instituce;1. čtvrtletí 2022;18093
Česko;Počet ekonomických subjektů celkem;Vládní instituce;4. čtvrtletí 2021;18069
Česko;Počet ekonomických subjektů celkem;Vládní instituce;3. čtvrtletí 2021;18071
Česko;Počet ekonomických subjektů celkem;Vládní instituce;2. čtvrtletí 2021;18053
Česko;Počet ekonomických subjektů celkem;Vládní instituce;1. čtvrtletí 2021;18043
Česko;Počet ekonomických subjektů celkem;Domácnosti;1. čtvrtletí 2025;2076309
Česko;Počet ekonomických subjektů celkem;Domácnosti;4. čtvrtletí 2024;2066352
Česko;Počet ekonomických subjektů celkem;Domácnosti;3. čtvrtletí 2024;2056560
Česko;Počet ekonomických subjektů celkem;Domácnosti;2. čtvrtletí 2024;2042918
Česko;Počet ekonomických subjektů celkem;Domácnosti;1. čtvrtletí 2024;2048354
Česko;Počet ekonomických subjektů celkem;Domácnosti;4. čtvrtletí 2023;2044847
Česko;Počet ekonomických subjektů celkem;Domácnosti;3. čtvrtletí 2023;2040401
Česko;Počet ekonomických subjektů celkem;Domácnosti;2. čtvrtletí 2023;2039013
Česko;Počet ekonomických subjektů celkem;Domácnosti;1. čtvrtletí 2023;2088272
Česko;Počet ekonomických subjektů celkem;Domácnosti;4. čtvrtletí 2022;2253537
Česko;Počet ekonomických subjektů celkem;Domácnosti;3. čtvrtletí 2022;2267074
Česko;Počet ekonomických subjektů celkem;Domácnosti;2. čtvrtletí 2022;2258471
Česko;Počet ekonomických subjektů celkem;Domácnosti;1. čtvrtletí 2022;2250891
Česko;Počet ekonomických subjektů celkem;Domácnosti;4. čtvrtletí 2021;2244960
Česko;Počet ekonomických subjektů celkem;Domácnosti;3. čtvrtletí 2021;2235746
Česko;Počet ekonomických subjektů celkem;Domácnosti;2. čtvrtletí 2021;2227556
Česko;Počet ekonomických subjektů celkem;Domácnosti;1. čtvrtletí 2021;2219578
Česko;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;1. čtvrtletí 2025;149515
Česko;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;4. čtvrtletí 2024;149625
Česko;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;3. čtvrtletí 2024;149410
Česko;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;2. čtvrtletí 2024;149216
Česko;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;1. čtvrtletí 2024;148985
Česko;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;4. čtvrtletí 2023;148918
Česko;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;3. čtvrtletí 2023;149205
Česko;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;2. čtvrtletí 2023;149337
Česko;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;1. čtvrtletí 2023;149520
Česko;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;4. čtvrtletí 2022;149662
Česko;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;3. čtvrtletí 2022;150099
Česko;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;2. čtvrtletí 2022;150577
Česko;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;1. čtvrtletí 2022;150982
Česko;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;4. čtvrtletí 2021;151589
Česko;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;3. čtvrtletí 2021;152056
Česko;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;2. čtvrtletí 2021;152553
Česko;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;1. čtvrtletí 2021;152900
Česko;Počet ekonomických subjektů celkem;Nerezidenti;1. čtvrtletí 2025;58
Česko;Počet ekonomických subjektů celkem;Nerezidenti;4. čtvrtletí 2024;57
Česko;Počet ekonomických subjektů celkem;Nerezidenti;3. čtvrtletí 2024;57
Česko;Počet ekonomických subjektů celkem;Nerezidenti;2. čtvrtletí 2024;57
Česko;Počet ekonomických subjektů celkem;Nerezidenti;1. čtvrtletí 2024;57
Česko;Počet ekonomických subjektů celkem;Nerezidenti;4. čtvrtletí 2023;57
Česko;Počet ekonomických subjektů celkem;Nerezidenti;3. čtvrtletí 2023;57
Česko;Počet ekonomických subjektů celkem;Nerezidenti;2. čtvrtletí 2023;57
Česko;Počet ekonomických subjektů celkem;Nerezidenti;1. čtvrtletí 2023;57
Česko;Počet ekonomických subjektů celkem;Nerezidenti;4. čtvrtletí 2022;57
Česko;Počet ekonomických subjektů celkem;Nerezidenti;3. čtvrtletí 2022;57
Česko;Počet ekonomických subjektů celkem;Nerezidenti;2. čtvrtletí 2022;57
Česko;Počet ekonomických subjektů celkem;Nerezidenti;1. čtvrtletí 2022;57
Česko;Počet ekonomických subjektů celkem;Nerezidenti;4. čtvrtletí 2021;57
Česko;Počet ekonomických subjektů celkem;Nerezidenti;3. čtvrtletí 2021;57
Česko;Počet ekonomických subjektů celkem;Nerezidenti;2. čtvrtletí 2021;57
Česko;Počet ekonomických subjektů celkem;Nerezidenti;1. čtvrtletí 2021;57
Česko;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;1. čtvrtletí 2025;18
Česko;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;4. čtvrtletí 2024;18
Česko;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;3. čtvrtletí 2024;18
Česko;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;2. čtvrtletí 2024;18
Česko;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;1. čtvrtletí 2024;18
Česko;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;4. čtvrtletí 2023;18
Česko;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;3. čtvrtletí 2023;18
Česko;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;2. čtvrtletí 2023;18
Česko;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;1. čtvrtletí 2023;18
Česko;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;4. čtvrtletí 2022;18
Česko;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;3. čtvrtletí 2022;18
Česko;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;2. čtvrtletí 2022;18
Česko;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;1. čtvrtletí 2022;18
Česko;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;4. čtvrtletí 2021;18
Česko;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;3. čtvrtletí 2021;18
Česko;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;2. čtvrtletí 2021;18
Česko;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;1. čtvrtletí 2021;18
Česko;Počet ekonomických subjektů celkem;Ostatní země a mezinárodní organizace - nerezidenti EU;1. čtvrtletí 2025;40
Česko;Počet ekonomických subjektů celkem;Ostatní země a mezinárodní organizace - nerezidenti EU;4. čtvrtletí 2024;39
Česko;Počet ekonomických subjektů celkem;Ostatní země a mezinárodní organizace - nerezidenti EU;3. čtvrtletí 2024;39
Česko;Počet ekonomických subjektů celkem;Ostatní země a mezinárodní organizace - nerezidenti EU;2. čtvrtletí 2024;39
Česko;Počet ekonomických subjektů celkem;Ostatní země a mezinárodní organizace - nerezidenti EU;1. čtvrtletí 2024;39
Česko;Počet ekonomických subjektů celkem;Ostatní země a mezinárodní organizace - nerezidenti EU;4. čtvrtletí 2023;39
Česko;Počet ekonomických subjektů celkem;Ostatní země a mezinárodní organizace - nerezidenti EU;3. čtvrtletí 2023;39
Česko;Počet ekonomických subjektů celkem;Ostatní země a mezinárodní organizace - nerezidenti EU;2. čtvrtletí 2023;39
Česko;Počet ekonomických subjektů celkem;Ostatní země a mezinárodní organizace - nerezidenti EU;1. čtvrtletí 2023;39
Česko;Počet ekonomických subjektů celkem;Ostatní země a mezinárodní organizace - nerezidenti EU;4. čtvrtletí 2022;39
Česko;Počet ekonomických subjektů celkem;Ostatní země a mezinárodní organizace - nerezidenti EU;3. čtvrtletí 2022;39
Česko;Počet ekonomických subjektů celkem;Ostatní země a mezinárodní organizace - nerezidenti EU;2. čtvrtletí 2022;39
Česko;Počet ekonomických subjektů celkem;Ostatní země a mezinárodní organizace - nerezidenti EU;1. čtvrtletí 2022;39
Česko;Počet ekonomických subjektů celkem;Ostatní země a mezinárodní organizace - nerezidenti EU;4. čtvrtletí 2021;39
Česko;Počet ekonomických subjektů celkem;Ostatní země a mezinárodní organizace - nerezidenti EU;3. čtvrtletí 2021;39
Česko;Počet ekonomických subjektů celkem;Ostatní země a mezinárodní organizace - nerezidenti EU;2. čtvrtletí 2021;39
Česko;Počet ekonomických subjektů celkem;Ostatní země a mezinárodní organizace - nerezidenti EU;1. čtvrtletí 2021;39
