Území;Ukazatel;Typ indexu;Očištění;CZ-NACE;Úhrn 12 měsíců;value
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;listopad 2017;106.5365090466
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;říjen 2017;106.4725233151
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;září 2017;105.3945642709
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;srpen 2017;105.21942801
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červenec 2017;105.7341366428
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červen 2017;104.3020072397
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;květen 2017;104.3328672898
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;duben 2017;104.2889521625
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;březen 2017;104.7530975612
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;únor 2017;103.9256046465
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2017;104.169963953
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;prosinec 2016;103.4320644962
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;listopad 2016;103.2228400292
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;říjen 2016;102.9789949367
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;září 2016;103.3417296784
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;srpen 2016;103.1128715964
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červenec 2016;102.5832302649
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červen 2016;104.0248894609
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;květen 2016;104.3358410275
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;duben 2016;103.7799787928
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;březen 2016;103.8241370775
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;únor 2016;104.2969898371
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2016;104.209737896
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;prosinec 2015;104.2820849137
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;listopad 2015;104.7231815467
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;říjen 2015;104.2262839109
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;září 2015;104.2217075058
