Kumulace čtvrtletí,"ČR, kraje",Ukazatel,value
Q1-Q2 2025,Kraj Vysočina,Sňatky,799
Q1-Q2 2025,Kraj Vysočina,1. sňatek - muži,609
Q1-Q2 2025,Kraj Vysočina,2. a další sňatek - muži,190
Q1-Q2 2025,Kraj Vysočina,1. sňatek - ženy,579
Q1-Q2 2025,Kraj Vysočina,2. a další sňatek - ženy,192
Q1-Q2 2025,Kraj Vysočina,Oba snoubenci svobodní,531
Q1-Q2 2025,Jihomoravský kraj,Sňatky,2126
Q1-Q2 2025,Jihomoravský kraj,1. sňatek - muži,1626
Q1-Q2 2025,Jihomoravský kraj,2. a další sňatek - muži,500
Q1-Q2 2025,Jihomoravský kraj,1. sňatek - ženy,1571
Q1-Q2 2025,Jihomoravský kraj,2. a další sňatek - ženy,527
Q1-Q2 2025,Jihomoravský kraj,Oba snoubenci svobodní,1413
Q1-Q2 2025,Olomoucký kraj,Sňatky,1022
Q1-Q2 2025,Olomoucký kraj,1. sňatek - muži,749
Q1-Q2 2025,Olomoucký kraj,2. a další sňatek - muži,273
Q1-Q2 2025,Olomoucký kraj,1. sňatek - ženy,752
Q1-Q2 2025,Olomoucký kraj,2. a další sňatek - ženy,291
Q1-Q2 2025,Olomoucký kraj,Oba snoubenci svobodní,648
Q1-Q2 2025,Zlínský kraj,Sňatky,831
Q1-Q2 2025,Zlínský kraj,1. sňatek - muži,621
Q1-Q2 2025,Zlínský kraj,2. a další sňatek - muži,210
Q1-Q2 2025,Zlínský kraj,1. sňatek - ženy,631
Q1-Q2 2025,Zlínský kraj,2. a další sňatek - ženy,215
Q1-Q2 2025,Zlínský kraj,Oba snoubenci svobodní,543
Q1-Q2 2025,Moravskoslezský kraj,Sňatky,1805
Q1-Q2 2025,Moravskoslezský kraj,1. sňatek - muži,1290
Q1-Q2 2025,Moravskoslezský kraj,2. a další sňatek - muži,515
Q1-Q2 2025,Moravskoslezský kraj,1. sňatek - ženy,1288
Q1-Q2 2025,Moravskoslezský kraj,2. a další sňatek - ženy,540
Q1-Q2 2025,Moravskoslezský kraj,Oba snoubenci svobodní,1102
