ČR, kraje;Čtvrtletí;Ukazatel;Kategorie;value
Česko;1. čtvrtletí 2018;Počet kongresů (konferencí);Hotel, motel, botel ***;829
Česko;1. čtvrtletí 2018;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;332853
Česko;1. čtvrtletí 2018;Počet účastníků kongresů (konferencí);Hotel *****;26039
Česko;1. čtvrtletí 2018;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;222906
Česko;1. čtvrtletí 2018;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;68096
Česko;4. čtvrtletí 2017;Počet kongresů (konferencí);Hromadná ubytovací zařízení;3928
Česko;4. čtvrtletí 2017;Počet kongresů (konferencí);Hotel *****;210
Česko;4. čtvrtletí 2017;Počet kongresů (konferencí);Hotel, motel, botel ****;2559
Česko;4. čtvrtletí 2017;Počet kongresů (konferencí);Hotel, motel, botel ***;972
Česko;4. čtvrtletí 2017;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;421172
Česko;4. čtvrtletí 2017;Počet účastníků kongresů (konferencí);Hotel *****;33416
Česko;4. čtvrtletí 2017;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;283317
Česko;4. čtvrtletí 2017;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;84197
Česko;3. čtvrtletí 2017;Počet kongresů (konferencí);Hromadná ubytovací zařízení;2116
Česko;3. čtvrtletí 2017;Počet kongresů (konferencí);Hotel *****;182
Česko;3. čtvrtletí 2017;Počet kongresů (konferencí);Hotel, motel, botel ****;1252
Česko;3. čtvrtletí 2017;Počet kongresů (konferencí);Hotel, motel, botel ***;610
Česko;3. čtvrtletí 2017;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;220987
Česko;3. čtvrtletí 2017;Počet účastníků kongresů (konferencí);Hotel *****;23478
Česko;3. čtvrtletí 2017;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;136287
Česko;3. čtvrtletí 2017;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;52931
Česko;2. čtvrtletí 2017;Počet kongresů (konferencí);Hromadná ubytovací zařízení;3677
Česko;2. čtvrtletí 2017;Počet kongresů (konferencí);Hotel *****;270
Česko;2. čtvrtletí 2017;Počet kongresů (konferencí);Hotel, motel, botel ****;2318
Česko;2. čtvrtletí 2017;Počet kongresů (konferencí);Hotel, motel, botel ***;966
Česko;2. čtvrtletí 2017;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;380016
Česko;2. čtvrtletí 2017;Počet účastníků kongresů (konferencí);Hotel *****;37429
Česko;2. čtvrtletí 2017;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;237825
Česko;2. čtvrtletí 2017;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;89840
Česko;1. čtvrtletí 2017;Počet kongresů (konferencí);Hromadná ubytovací zařízení;2821
Česko;1. čtvrtletí 2017;Počet kongresů (konferencí);Hotel *****;167
Česko;1. čtvrtletí 2017;Počet kongresů (konferencí);Hotel, motel, botel ****;1801
Česko;1. čtvrtletí 2017;Počet kongresů (konferencí);Hotel, motel, botel ***;733
Česko;1. čtvrtletí 2017;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;335220
Česko;1. čtvrtletí 2017;Počet účastníků kongresů (konferencí);Hotel *****;28260
Česko;1. čtvrtletí 2017;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;224393
Česko;1. čtvrtletí 2017;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;67606
Česko;4. čtvrtletí 2016;Počet kongresů (konferencí);Hromadná ubytovací zařízení;3813
Česko;4. čtvrtletí 2016;Počet kongresů (konferencí);Hotel *****;309
Česko;4. čtvrtletí 2016;Počet kongresů (konferencí);Hotel, motel, botel ****;2310
Česko;4. čtvrtletí 2016;Počet kongresů (konferencí);Hotel, motel, botel ***;1023
Česko;4. čtvrtletí 2016;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;413016
Česko;4. čtvrtletí 2016;Počet účastníků kongresů (konferencí);Hotel *****;44050
Česko;4. čtvrtletí 2016;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;261844
Česko;4. čtvrtletí 2016;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;84845
Česko;3. čtvrtletí 2016;Počet kongresů (konferencí);Hromadná ubytovací zařízení;2095
Česko;3. čtvrtletí 2016;Počet kongresů (konferencí);Hotel *****;174
Česko;3. čtvrtletí 2016;Počet kongresů (konferencí);Hotel, motel, botel ****;1200
Česko;3. čtvrtletí 2016;Počet kongresů (konferencí);Hotel, motel, botel ***;612
Česko;3. čtvrtletí 2016;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;223846
Česko;3. čtvrtletí 2016;Počet účastníků kongresů (konferencí);Hotel *****;27417
Česko;3. čtvrtletí 2016;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;135480
Česko;3. čtvrtletí 2016;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;49868
Česko;2. čtvrtletí 2016;Počet kongresů (konferencí);Hromadná ubytovací zařízení;3796
Česko;2. čtvrtletí 2016;Počet kongresů (konferencí);Hotel *****;218
Česko;2. čtvrtletí 2016;Počet kongresů (konferencí);Hotel, motel, botel ****;2305
Česko;2. čtvrtletí 2016;Počet kongresů (konferencí);Hotel, motel, botel ***;1115
Česko;2. čtvrtletí 2016;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;377474
Česko;2. čtvrtletí 2016;Počet účastníků kongresů (konferencí);Hotel *****;33778
Česko;2. čtvrtletí 2016;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;228674
Česko;2. čtvrtletí 2016;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;96674
Česko;1. čtvrtletí 2016;Počet kongresů (konferencí);Hromadná ubytovací zařízení;2885
Česko;1. čtvrtletí 2016;Počet kongresů (konferencí);Hotel *****;132
Česko;1. čtvrtletí 2016;Počet kongresů (konferencí);Hotel, motel, botel ****;1780
Česko;1. čtvrtletí 2016;Počet kongresů (konferencí);Hotel, motel, botel ***;829
Česko;1. čtvrtletí 2016;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;324424
Česko;1. čtvrtletí 2016;Počet účastníků kongresů (konferencí);Hotel *****;23529
Česko;1. čtvrtletí 2016;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;209146
Česko;1. čtvrtletí 2016;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;75646
Česko;4. čtvrtletí 2015;Počet kongresů (konferencí);Hromadná ubytovací zařízení;3934
Česko;4. čtvrtletí 2015;Počet kongresů (konferencí);Hotel *****;226
