Ukazatel,Tříleté období,Území,Druh nemovitosti,Počet obyvatel obce,value
Průměrná jednotková kupní cena nemovitosti,2021-2023,Jihočeský kraj,Byty [Kč/m2],Celkem,45749.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Jihočeský kraj,Byty [Kč/m2],do 1 999 obyv.,30236.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Jihočeský kraj,Byty [Kč/m2],2 000 - 9 999 obyv.,39018.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Jihočeský kraj,Byty [Kč/m2],10 000 - 49 999 obyv.,45012.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Jihočeský kraj,Byty [Kč/m2],50 000 obyv. a více,57993.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Plzeňský kraj,Rodinné domy [Kč/m2],Celkem,42055.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Plzeňský kraj,Rodinné domy [Kč/m2],do 1 999 obyv.,37468.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Plzeňský kraj,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,40388.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Plzeňský kraj,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,43835.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Plzeňský kraj,Rodinné domy [Kč/m2],50 000 obyv. a více,72618.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Plzeňský kraj,Byty [Kč/m2],Celkem,47262.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Plzeňský kraj,Byty [Kč/m2],do 1 999 obyv.,31706.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Plzeňský kraj,Byty [Kč/m2],2 000 - 9 999 obyv.,39383.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Plzeňský kraj,Byty [Kč/m2],10 000 - 49 999 obyv.,42580.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Plzeňský kraj,Byty [Kč/m2],50 000 obyv. a více,57707.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Karlovarský kraj,Rodinné domy [Kč/m2],Celkem,35862.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Karlovarský kraj,Rodinné domy [Kč/m2],do 1 999 obyv.,35381.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Karlovarský kraj,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,33948.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Karlovarský kraj,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,38599.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Karlovarský kraj,Rodinné domy [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Karlovarský kraj,Byty [Kč/m2],Celkem,33094.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Karlovarský kraj,Byty [Kč/m2],do 1 999 obyv.,26056.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Karlovarský kraj,Byty [Kč/m2],2 000 - 9 999 obyv.,27014.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Karlovarský kraj,Byty [Kč/m2],10 000 - 49 999 obyv.,34637.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Karlovarský kraj,Byty [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Ústecký kraj,Rodinné domy [Kč/m2],Celkem,35857.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Ústecký kraj,Rodinné domy [Kč/m2],do 1 999 obyv.,34391.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Ústecký kraj,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,34482.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Ústecký kraj,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,37498.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Ústecký kraj,Rodinné domy [Kč/m2],50 000 obyv. a více,50344.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Ústecký kraj,Byty [Kč/m2],Celkem,33451.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Ústecký kraj,Byty [Kč/m2],do 1 999 obyv.,28777.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Ústecký kraj,Byty [Kč/m2],2 000 - 9 999 obyv.,31403.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Ústecký kraj,Byty [Kč/m2],10 000 - 49 999 obyv.,31953.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Ústecký kraj,Byty [Kč/m2],50 000 obyv. a více,39236.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Liberecký kraj,Rodinné domy [Kč/m2],Celkem,43938.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Liberecký kraj,Rodinné domy [Kč/m2],do 1 999 obyv.,36269.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Liberecký kraj,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,39699.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Liberecký kraj,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,44324.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Liberecký kraj,Rodinné domy [Kč/m2],50 000 obyv. a více,64920.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Liberecký kraj,Byty [Kč/m2],Celkem,44210.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Liberecký kraj,Byty [Kč/m2],do 1 999 obyv.,32378.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Liberecký kraj,Byty [Kč/m2],2 000 - 9 999 obyv.,35620.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Liberecký kraj,Byty [Kč/m2],10 000 - 49 999 obyv.,41316.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Liberecký kraj,Byty [Kč/m2],50 000 obyv. a více,55766.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Královéhradecký kraj,Rodinné domy [Kč/m2],Celkem,42407.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Královéhradecký kraj,Rodinné domy [Kč/m2],do 1 999 obyv.,38571.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Královéhradecký kraj,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,38038.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Královéhradecký kraj,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,38434.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Královéhradecký kraj,Rodinné domy [Kč/m2],50 000 obyv. a více,66475.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Královéhradecký kraj,Byty [Kč/m2],Celkem,44915.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Královéhradecký kraj,Byty [Kč/m2],do 1 999 obyv.,32780.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Královéhradecký kraj,Byty [Kč/m2],2 000 - 9 999 obyv.,37412.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Královéhradecký kraj,Byty [Kč/m2],10 000 - 49 999 obyv.,43036.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Královéhradecký kraj,Byty [Kč/m2],50 000 obyv. a více,64219.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Pardubický kraj,Rodinné domy [Kč/m2],Celkem,39420.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Pardubický kraj,Rodinné domy [Kč/m2],do 1 999 obyv.,36598.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Pardubický kraj,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,39980.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Pardubický kraj,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,39920.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Pardubický kraj,Rodinné domy [Kč/m2],50 000 obyv. a více,69657.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Pardubický kraj,Byty [Kč/m2],Celkem,47195.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Pardubický kraj,Byty [Kč/m2],do 1 999 obyv.,31471.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Pardubický kraj,Byty [Kč/m2],2 000 - 9 999 obyv.,40045.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Pardubický kraj,Byty [Kč/m2],10 000 - 49 999 obyv.,42597.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Pardubický kraj,Byty [Kč/m2],50 000 obyv. a více,60644.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Kraj Vysočina,Rodinné domy [Kč/m2],Celkem,39036.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Kraj Vysočina,Rodinné domy [Kč/m2],do 1 999 obyv.,37111.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Kraj Vysočina,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,36223.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Kraj Vysočina,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,40964.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Kraj Vysočina,Rodinné domy [Kč/m2],50 000 obyv. a více,60502.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Kraj Vysočina,Byty [Kč/m2],Celkem,44518.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Kraj Vysočina,Byty [Kč/m2],do 1 999 obyv.,31190.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Kraj Vysočina,Byty [Kč/m2],2 000 - 9 999 obyv.,38210.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Kraj Vysočina,Byty [Kč/m2],10 000 - 49 999 obyv.,46649.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Kraj Vysočina,Byty [Kč/m2],50 000 obyv. a více,52028.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Jihomoravský kraj,Rodinné domy [Kč/m2],Celkem,46276.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Jihomoravský kraj,Rodinné domy [Kč/m2],do 1 999 obyv.,39532.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Jihomoravský kraj,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,41753.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Jihomoravský kraj,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,41372.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Jihomoravský kraj,Rodinné domy [Kč/m2],50 000 obyv. a více,71967.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Jihomoravský kraj,Byty [Kč/m2],Celkem,62580.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Jihomoravský kraj,Byty [Kč/m2],do 1 999 obyv.,34479.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Jihomoravský kraj,Byty [Kč/m2],2 000 - 9 999 obyv.,46578.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Jihomoravský kraj,Byty [Kč/m2],10 000 - 49 999 obyv.,47380.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Jihomoravský kraj,Byty [Kč/m2],50 000 obyv. a více,76704.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Olomoucký kraj,Rodinné domy [Kč/m2],Celkem,36044.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Olomoucký kraj,Rodinné domy [Kč/m2],do 1 999 obyv.,33479.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Olomoucký kraj,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,36692.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Olomoucký kraj,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,37948.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Olomoucký kraj,Rodinné domy [Kč/m2],50 000 obyv. a více,69383.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Olomoucký kraj,Byty [Kč/m2],Celkem,44264.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Olomoucký kraj,Byty [Kč/m2],do 1 999 obyv.,28260.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Olomoucký kraj,Byty [Kč/m2],2 000 - 9 999 obyv.,37714.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Olomoucký kraj,Byty [Kč/m2],10 000 - 49 999 obyv.,40193.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Olomoucký kraj,Byty [Kč/m2],50 000 obyv. a více,59711.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Zlínský kraj,Rodinné domy [Kč/m2],Celkem,35544.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Zlínský kraj,Rodinné domy [Kč/m2],do 1 999 obyv.,32254.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Zlínský kraj,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,33010.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Zlínský kraj,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,38437.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Zlínský kraj,Rodinné domy [Kč/m2],50 000 obyv. a více,58428.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Zlínský kraj,Byty [Kč/m2],Celkem,43627.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Zlínský kraj,Byty [Kč/m2],do 1 999 obyv.,30512.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Zlínský kraj,Byty [Kč/m2],2 000 - 9 999 obyv.,39047.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Zlínský kraj,Byty [Kč/m2],10 000 - 49 999 obyv.,44769.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Zlínský kraj,Byty [Kč/m2],50 000 obyv. a více,53855.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Moravskoslezský kraj,Rodinné domy [Kč/m2],Celkem,38753.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Moravskoslezský kraj,Rodinné domy [Kč/m2],do 1 999 obyv.,34063.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Moravskoslezský kraj,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,38015.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Moravskoslezský kraj,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,37113.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Moravskoslezský kraj,Rodinné domy [Kč/m2],50 000 obyv. a více,52425.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Moravskoslezský kraj,Byty [Kč/m2],Celkem,38484.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Moravskoslezský kraj,Byty [Kč/m2],do 1 999 obyv.,29718.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Moravskoslezský kraj,Byty [Kč/m2],2 000 - 9 999 obyv.,34975.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Moravskoslezský kraj,Byty [Kč/m2],10 000 - 49 999 obyv.,32175.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Moravskoslezský kraj,Byty [Kč/m2],50 000 obyv. a více,43271.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Benešov,Rodinné domy [Kč/m2],Celkem,44623.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Benešov,Rodinné domy [Kč/m2],do 1 999 obyv.,43017.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Benešov,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,47448.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Benešov,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,44814.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Benešov,Rodinné domy [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Benešov,Byty [Kč/m2],Celkem,47791.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Benešov,Byty [Kč/m2],do 1 999 obyv.,36766.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Benešov,Byty [Kč/m2],2 000 - 9 999 obyv.,48225.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Benešov,Byty [Kč/m2],10 000 - 49 999 obyv.,50264.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Benešov,Byty [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Beroun,Rodinné domy [Kč/m2],Celkem,45022.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Beroun,Rodinné domy [Kč/m2],do 1 999 obyv.,41295.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Beroun,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,51191.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Beroun,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Beroun,Rodinné domy [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Beroun,Byty [Kč/m2],Celkem,50239.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Beroun,Byty [Kč/m2],do 1 999 obyv.,39005.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Beroun,Byty [Kč/m2],2 000 - 9 999 obyv.,49653.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Beroun,Byty [Kč/m2],10 000 - 49 999 obyv.,54343.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Beroun,Byty [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Kladno,Rodinné domy [Kč/m2],Celkem,49761.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Kladno,Rodinné domy [Kč/m2],do 1 999 obyv.,40643.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Kladno,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,51740.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Kladno,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,43472.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Kladno,Rodinné domy [Kč/m2],50 000 obyv. a více,60573.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Kladno,Byty [Kč/m2],Celkem,60556.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Kladno,Byty [Kč/m2],do 1 999 obyv.,41242.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Kladno,Byty [Kč/m2],2 000 - 9 999 obyv.,49266.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Kladno,Byty [Kč/m2],10 000 - 49 999 obyv.,52344.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Kladno,Byty [Kč/m2],50 000 obyv. a více,63516.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Kolín,Rodinné domy [Kč/m2],Celkem,43293.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Kolín,Rodinné domy [Kč/m2],do 1 999 obyv.,42541.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Kolín,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,43834.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Kolín,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,45010.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Kolín,Rodinné domy [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Kolín,Byty [Kč/m2],Celkem,49364.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Kolín,Byty [Kč/m2],do 1 999 obyv.,38328.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Kolín,Byty [Kč/m2],2 000 - 9 999 obyv.,47805.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Kolín,Byty [Kč/m2],10 000 - 49 999 obyv.,54573.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Kolín,Byty [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Kutná Hora,Rodinné domy [Kč/m2],Celkem,43135.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Kutná Hora,Rodinné domy [Kč/m2],do 1 999 obyv.,42059.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Kutná Hora,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,35043.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Kutná Hora,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,46934.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Kutná Hora,Rodinné domy [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Kutná Hora,Byty [Kč/m2],Celkem,44123.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Kutná Hora,Byty [Kč/m2],do 1 999 obyv.,31862.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Kutná Hora,Byty [Kč/m2],2 000 - 9 999 obyv.,41927.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Kutná Hora,Byty [Kč/m2],10 000 - 49 999 obyv.,45928.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Kutná Hora,Byty [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Mělník,Rodinné domy [Kč/m2],Celkem,45723.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Mělník,Rodinné domy [Kč/m2],do 1 999 obyv.,42771.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Mělník,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,52400.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Mělník,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,45947.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Mělník,Rodinné domy [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Mělník,Byty [Kč/m2],Celkem,51812.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Mělník,Byty [Kč/m2],do 1 999 obyv.,34979.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Mělník,Byty [Kč/m2],2 000 - 9 999 obyv.,51709.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Mělník,Byty [Kč/m2],10 000 - 49 999 obyv.,55193.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Mělník,Byty [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Mladá Boleslav,Rodinné domy [Kč/m2],Celkem,44801.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Mladá Boleslav,Rodinné domy [Kč/m2],do 1 999 obyv.,42640.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Mladá Boleslav,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,49557.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Mladá Boleslav,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,44522.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Mladá Boleslav,Rodinné domy [Kč/m2],50 000 obyv. a více,
