Území;Čtvrtletí;Země;Ukazatel;value
Česko;4. čtvrtletí 2024;Americká Samoa;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Americká Samoa;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Americká Samoa;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Americké Panenské ostrovy;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Americké Panenské ostrovy;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Americké Panenské ostrovy;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Americké Panenské ostrovy;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Americké Panenské ostrovy;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Americké Panenské ostrovy;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Americké Panenské ostrovy;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Andorra;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Andorra;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Andorra;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Andorra;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Andorra;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Andorra;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Andorra;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Angola;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Angola;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Angola;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Angola;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Angola;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Angola;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Angola;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Anguilla;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Anguilla;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Anguilla;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Anguilla;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Anguilla;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Anguilla;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Anguilla;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Antarktida;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Antarktida;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Antarktida;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Antarktida;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Antarktida;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Antarktida;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Antarktida;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Antigua a Barbuda;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Antigua a Barbuda;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Antigua a Barbuda;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Antigua a Barbuda;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Antigua a Barbuda;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Antigua a Barbuda;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Antigua a Barbuda;Obrat pohybu zboží (meziroční index);
