Území,Ukazatel,Typ indexu,Očištění,Typ tržeb,Vybraná průmyslová činnost,Měsíce,value
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),duben 2023,107.1737166354
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),březen 2023,113.4273571754
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),únor 2023,113.0328665761
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),leden 2023,108.7257659087
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),prosinec 2022,108.5265765297
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),listopad 2022,117.9454854286
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),říjen 2022,119.7266325826
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),září 2022,127.5553131346
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),srpen 2022,130.8152482184
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),červenec 2022,113.8114064731
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),červen 2022,119.8584475393
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),květen 2022,119.78994456
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),duben 2022,101.1398319826
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),březen 2022,108.0711164323
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),únor 2022,109.7006160237
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),leden 2022,116.724406299
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),prosinec 2021,108.2388528517
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),listopad 2021,111.1065965408
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),říjen 2021,94.0078669494
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),září 2021,98.5510000695
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),srpen 2021,108.0100421434
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),červenec 2021,104.8349876252
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),červen 2021,115.2959714088
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),květen 2021,137.2983488044
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),duben 2021,163.6788710652
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),březen 2021,121.0771673068
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),únor 2021,99.7739224794
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),leden 2021,95.7511203561
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),prosinec 2020,108.4079144226
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),listopad 2020,101.6285399997
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),říjen 2020,102.7539934845
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),září 2020,100.7437897971
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),srpen 2020,93.6820963892
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),červenec 2020,97.1932338393
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),červen 2020,95.2247864008
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),květen 2020,71.7635634768
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),duben 2020,64.6021386838
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),březen 2020,91.1719968274
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),únor 2020,101.3555977193
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),leden 2020,101.2830374974
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),prosinec 2019,99.960858868
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),listopad 2019,93.7541281521
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),říjen 2019,96.7977860697
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),září 2019,105.6300130631
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),srpen 2019,94.9086320687
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),červenec 2019,107.6985999087
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),červen 2019,95.5563224683
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),květen 2019,105.9776848796
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),duben 2019,107.1026497331
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),březen 2019,104.6809308951
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),únor 2019,103.1890195959
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),leden 2019,100.0771787583
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),prosinec 2018,100.3750438811
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),listopad 2018,109.1577767118
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),říjen 2018,109.1770827098
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),září 2018,101.7104887732
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),srpen 2018,103.9255642337
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),červenec 2018,111.2406583152
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),červen 2018,103.0868703456
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),květen 2018,99.4178275569
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),duben 2018,104.3883694778
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),březen 2018,95.5717011785
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),únor 2018,100.9523634289
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),leden 2018,104.8672484076
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),prosinec 2017,101.3262533774
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),listopad 2017,105.3803734062
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),říjen 2017,109.8645869487
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),září 2017,103.6953376672
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),srpen 2017,105.9468630603
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),červenec 2017,108.1112494073
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),červen 2017,105.7058242193
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),květen 2017,112.5973047109
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),duben 2017,100.9491531291
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),březen 2017,114.2667736172
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),únor 2017,105.123455508
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),leden 2017,113.4867971654
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),prosinec 2016,105.3121598909
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),listopad 2016,107.6987889019
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),říjen 2016,97.64035871
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),září 2016,101.457830947
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),srpen 2016,114.9777088601
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),červenec 2016,81.3444016353
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),červen 2016,101.7217801973
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),květen 2016,105.7001586741
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),duben 2016,100.5852047393
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),březen 2016,98.8559237938
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),únor 2016,103.330512755
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),leden 2016,98.2251100709
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),prosinec 2015,98.0267354053
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),listopad 2015,100.7635434067
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),říjen 2015,101.1236133389
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),září 2015,98.6600085384
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),srpen 2015,100.7775529002
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),červenec 2015,101.800749974
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),červen 2015,106.6550098719
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),květen 2015,101.0444542058
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),duben 2015,103.4610697408
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),březen 2015,105.76568786
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),únor 2015,102.9327672373
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),leden 2015,102.7495073164
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),prosinec 2014,108.9048043766
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),listopad 2014,102.4573780416
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),říjen 2014,108.4685176638
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),září 2014,112.3892553407
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),srpen 2014,98.4960779897
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),červenec 2014,114.8467645919
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),červen 2014,113.6302222309
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),květen 2014,105.8281696332
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),duben 2014,110.3664924299
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),březen 2014,111.8243201854
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),únor 2014,111.7593137937
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),leden 2014,108.6298192566
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),prosinec 2013,111.4111007718
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),listopad 2013,105.6666604796
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),říjen 2013,102.5892329848
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),září 2013,108.1794909849
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),srpen 2013,105.1415948227
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),červenec 2013,104.2012530025
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),červen 2013,95.1185334185
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),květen 2013,99.9051183029
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),duben 2013,103.024095213
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),březen 2013,96.0612026584
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),únor 2013,93.5546149385
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),leden 2013,95.7044868536
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),prosinec 2012,90.6338680332
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),listopad 2012,97.3403214725
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),říjen 2012,106.1116223317
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),září 2012,97.8720891963
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),srpen 2012,100.5538186688
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),červenec 2012,106.0467390885
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),červen 2012,101.9634020313
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),květen 2012,99.6276154815
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),duben 2012,102.6070405161
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),březen 2012,101.3222380804
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),únor 2012,109.4620595953
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),leden 2012,108.5596652525
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),prosinec 2011,103.7021019962
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),listopad 2011,106.5505746259
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),říjen 2011,103.0869474355
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),září 2011,101.2120792321
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),srpen 2011,106.0546117359
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),červenec 2011,105.7543160422
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),červen 2011,106.4924664089
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),květen 2011,113.8218481477
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),duben 2011,106.6995794475
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),březen 2011,110.8204633701
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),únor 2011,112.6211251336
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),leden 2011,116.4872095616
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),prosinec 2010,112.8715365754
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),listopad 2010,115.0243220087
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),říjen 2010,108.0330846833
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),září 2010,113.3162378353
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),srpen 2010,114.0746616674
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),červenec 2010,107.1886703476
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),červen 2010,110.4503672541
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),květen 2010,115.7147640546
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),duben 2010,109.3098817248
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),březen 2010,105.232773853
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),únor 2010,101.2315044981
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),leden 2010,101.2691779932
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),prosinec 2009,97.3340306127
