Území;Ukazatel;Kumulace čtvrtletí;value
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1 2009;3875.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q4 2008;4037.2
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q3 2008;4039.5
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q2 2008;4036.0
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1 2008;4020.4
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q4 2007;4003.4
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q3 2007;3985.1
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q2 2007;3970.4
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1 2007;3946.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q4 2006;3934.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q3 2006;3918.4
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q2 2006;3900.5
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1 2006;3872.6
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q4 2005;3907.1
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q3 2005;3895.0
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q2 2005;3880.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1 2005;3853.0
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q4 2004;3846.6
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q3 2004;3832.0
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q2 2004;3818.0
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1 2004;3789.2
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q4 2003;3837.4
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q3 2003;3831.1
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q2 2003;3823.4
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1 2003;3807.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q4 2002;3836.5
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q3 2002;3832.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q2 2002;3826.4
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1 2002;3809.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q4 2001;3936.8
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q3 2001;3921.0
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q2 2001;3905.0
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1 2001;3858.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q4 2000;3894.3
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q3 2000;3882.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q2 2000;3866.3
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1 2000;3842.8
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q4 2024;46164.5984871926
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q3 2024;45134.3715043238
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q2 2024;44969.4316330556
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1 2024;44047.1145059751
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q4 2023;43120.4942893915
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q3 2023;42185.9680038147
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q2 2023;42059.5758763848
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1 2023;41057.6128975968
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q4 2022;39932.3037334943
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q3 2022;38938.511395696
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q2 2022;38713.558105632
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1 2022;37691.3807346825
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q4 2021;38277.0715199885
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q3 2021;37493.8004645291
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q2 2021;37291.4723789772
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1 2021;35804.0985481774
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q4 2020;36176.3255551975
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q3 2020;35200.7351748048
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q2 2020;34817.1877705699
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1 2020;34760.5876038044
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q4 2019;34577.5091871211
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q3 2019;33886.4410770563
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q2 2019;33766.2051893493
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1 2019;32950.972626854
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q4 2018;32050.7532485822
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q3 2018;31374.547140111
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q2 2018;31218.5332132573
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1 2018;30426.9372312714
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q4 2017;29638.4184562606
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q3 2017;28903.8915214365
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q2 2017;28737.0467993187
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1 2017;28033.5913552409
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q4 2016;27764.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q3 2016;27179.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q2 2016;27070.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1 2016;26683.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q4 2015;26591.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q3 2015;26026.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q2 2015;25956.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1 2015;25497.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q4 2014;25768.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q3 2014;25261.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q2 2014;25252.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1 2014;24931.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q4 2013;25035.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q3 2013;24534.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q2 2013;24433.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1 2013;23985.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q4 2012;25067.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q3 2012;24400.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q2 2012;24380.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1 2012;24131.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q4 2011;24455.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q3 2011;23867.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q2 2011;23747.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1 2011;23372.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q4 2010;23864.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q3 2010;23283.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q2 2010;23123.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1 2010;22738.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q4 2009;23344.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q3 2009;22661.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q2 2009;22449.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1 2009;22108.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q4 2008;22592.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q3 2008;22021.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q2 2008;21940.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1 2008;21632.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q4 2007;20957.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q3 2007;20386.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q2 2007;20217.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1 2007;19687.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q4 2006;19546.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q3 2006;18963.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q2 2006;18789.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1 2006;18270.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q4 2005;18344.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q3 2005;17798.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q2 2005;17593.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1 2005;17067.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q4 2004;17466.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q3 2004;16885.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q2 2004;16731.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1 2004;16231.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q4 2003;16430.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q3 2003;15871.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q2 2003;15761.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1 2003;14986.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q4 2002;15524.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q3 2002;14986.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q2 2002;14844.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1 2002;14083.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q4 2001;14378.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q3 2001;13860.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q2 2001;13730.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1 2001;13052.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q4 2000;13219.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q3 2000;12714.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1-Q2 2000;12588.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);Q1 2000;11941.0
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q4 2024;99.9495842866
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q3 2024;99.8889268734
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q2 2024;99.8600559615
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1 2024;99.8990917271
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q4 2023;99.8626323634
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q3 2023;100.0087517812
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q2 2023;100.1938746125
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1 2023;100.4779113149
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q4 2022;100.7120850927
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q3 2022;100.6889435189
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q2 2022;100.6911974363
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1 2022;100.5039088395
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q4 2021;100.2176481251
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q3 2021;100.0313082049
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q2 2021;99.5387944953
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1 2021;98.330074214
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q4 2020;98.2877080323
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q3 2020;98.3930153863
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q2 2020;98.6902444048
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1 2020;99.9251088275
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q4 2019;99.706956247
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q3 2019;99.7774141382
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q2 2019;99.9759687329
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1 2019;100.0703254726
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q4 2018;101.5299449828
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q3 2018;101.7206436781
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q2 2018;101.8799782182
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1 2018;102.0347687758
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q4 2017;102.2
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q3 2017;102.1
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q2 2017;102.1
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1 2017;102.2
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q4 2016;101.8
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q3 2016;101.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q2 2016;102.0
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1 2016;102.1
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q4 2015;102.1
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q3 2015;102.0
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q2 2015;102.0
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1 2015;102.0
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q4 2014;101.1
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q3 2014;100.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q2 2014;100.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1 2014;100.4
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q4 2013;99.0
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q3 2013;98.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q2 2013;98.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1 2013;99.1
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q4 2012;100.0
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q3 2012;100.0
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q2 2012;100.0
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1 2012;100.1
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q4 2011;99.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q3 2011;99.8
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q2 2011;99.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1 2011;99.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q4 2010;99.2
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q3 2010;98.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q2 2010;97.8
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1 2010;96.5
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q4 2009;94.5
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q3 2009;94.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q2 2009;95.4
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1 2009;96.4
Česko;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);Q1-Q4 2008;100.8
