Území,Ukazatel,Typ ceny,Očištění,CZCPA,Měsíce,value
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,červen 2021,337936.990961
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,květen 2021,327609.46401
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,duben 2021,343554.338282
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,březen 2021,368119.742358
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,únor 2021,304509.386984
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,leden 2021,294651.092471
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,prosinec 2020,286694.9895
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,listopad 2020,346766.882061
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,říjen 2020,351605.01967
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,září 2020,326823.988584
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,srpen 2020,253717.084634
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,červenec 2020,282525.216898
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,červen 2020,295865.367735
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,květen 2020,227627.754896
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,duben 2020,187235.861087
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,březen 2020,281083.555181
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,únor 2020,291813.847203
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,leden 2020,298822.186914
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,prosinec 2019,249818.553224
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,listopad 2019,326615.580035
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,říjen 2019,340659.158078
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,září 2019,327078.796225
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,srpen 2019,276569.714277
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,červenec 2019,291449.406118
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,červen 2019,302604.758761
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,květen 2019,330677.988249
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,duben 2019,314829.923683
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,březen 2019,327862.460023
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,únor 2019,299072.782359
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,leden 2019,304524.083284
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,prosinec 2018,253019.726411
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,listopad 2018,346996.904255
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,říjen 2018,347037.835683
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,září 2018,300638.347304
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,srpen 2018,286096.792757
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,červenec 2018,267132.675916
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,červen 2018,316986.520822
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,květen 2018,307261.528893
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,duben 2018,292969.220596
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,březen 2018,312427.150586
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,únor 2018,284066.34349
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,leden 2018,301607.010245
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,prosinec 2017,251330.979698
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,listopad 2017,316985.861656
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,říjen 2017,316054.499799
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,září 2017,296516.08323
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,srpen 2017,276212.322321
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,červenec 2017,241160.777414
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,červen 2017,313335.704335
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,květen 2017,313840.596285
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,duben 2017,277471.613852
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,březen 2017,337017.191376
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,únor 2017,284923.890485
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,leden 2017,288047.82871
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,prosinec 2016,247306.262608
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,listopad 2016,302980.643194
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,říjen 2016,284766.28862
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,září 2016,288613.3899
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,srpen 2016,262624.229766
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,červenec 2016,226867.96419
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,červen 2016,295345.255947
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,květen 2016,279617.087033
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,duben 2016,284183.866754
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,březen 2016,291622.496963
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,únor 2016,279095.181381
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,leden 2016,256083.667324
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,prosinec 2015,244682.538311
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,listopad 2015,290327.025983
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,říjen 2015,296601.490735
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,září 2015,289141.817986
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,srpen 2015,226536.426616
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,červenec 2015,272527.577676
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,červen 2015,292968.55779
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,květen 2015,259558.118034
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,duben 2015,275576.631272
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,březen 2015,297171.940776
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,únor 2015,264067.435288
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,leden 2015,253811.662285
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,prosinec 2014,236906.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,listopad 2014,274883.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,říjen 2014,290333.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,září 2014,289345.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,srpen 2014,221805.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,červenec 2014,269298.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,červen 2014,267324.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,květen 2014,258124.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,duben 2014,265533.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,březen 2014,273254.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,únor 2014,251391.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,leden 2014,251002.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,prosinec 2013,214416.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,listopad 2013,263538.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,říjen 2013,261161.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,září 2013,249160.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,srpen 2013,216391.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,červenec 2013,223787.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,červen 2013,229599.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,květen 2013,231406.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,duben 2013,235539.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,březen 2013,233258.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,únor 2013,215645.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,leden 2013,212330.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,prosinec 2012,185676.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,listopad 2012,243049.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,říjen 2012,248374.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,září 2012,228113.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,srpen 2012,211421.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,červenec 2012,217028.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,červen 2012,234720.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,květen 2012,230693.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,duben 2012,224568.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,březen 2012,249895.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,únor 2012,229080.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,leden 2012,223226.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,prosinec 2011,200635.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,listopad 2011,236252.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,říjen 2011,229299.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,září 2011,229365.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,srpen 2011,197366.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,červenec 2011,195922.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,červen 2011,220620.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,květen 2011,221608.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,duben 2011,206324.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,březen 2011,233376.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,únor 2011,198669.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,leden 2011,201505.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,prosinec 2010,189454.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,listopad 2010,222301.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,říjen 2010,213677.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,září 2010,214689.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,srpen 2010,184664.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,červenec 2010,182734.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,červen 2010,206838.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,květen 2010,194320.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,duben 2010,188766.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,březen 2010,202245.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,únor 2010,172495.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,leden 2010,162658.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,prosinec 2009,161881.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,listopad 2009,189837.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,říjen 2009,189752.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,září 2009,181973.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,srpen 2009,153822.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,červenec 2009,161262.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,červen 2009,174551.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,květen 2009,158337.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,duben 2009,164895.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,březen 2009,182708.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,únor 2009,161600.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,leden 2009,152737.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,prosinec 2008,149886.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,listopad 2008,181877.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,říjen 2008,199370.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,září 2008,201484.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,srpen 2008,164628.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,červenec 2008,189650.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,červen 2008,201880.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,květen 2008,194916.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,duben 2008,208901.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,březen 2008,192402.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,únor 2008,198889.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,leden 2008,195968.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,prosinec 2007,171062.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,listopad 2007,219852.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,říjen 2007,225747.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,září 2007,192268.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,srpen 2007,179818.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,červenec 2007,187174.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,červen 2007,197321.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,květen 2007,193869.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,duben 2007,184862.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,březen 2007,201964.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,únor 2007,180603.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,leden 2007,179618.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,prosinec 2006,166217.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,listopad 2006,204913.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,říjen 2006,202065.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,září 2006,180016.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,srpen 2006,162698.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,červenec 2006,158905.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,červen 2006,179173.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,květen 2006,178101.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,duben 2006,159002.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,březen 2006,182558.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,únor 2006,158032.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,leden 2006,159373.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,prosinec 2005,154462.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,listopad 2005,183396.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,říjen 2005,172537.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,září 2005,170174.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,srpen 2005,152575.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,červenec 2005,141994.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,červen 2005,167598.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,květen 2005,157044.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,duben 2005,156276.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,březen 2005,153227.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,únor 2005,139059.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,leden 2005,135449.0
