Ukazatel;Roky;ČR, kraje, okresy;Počet obytných místnosti;value
Dokončené byty;2022;Děčín;třípokojové;35.0
Dokončené byty;2022;Děčín;čtyřpokojové;55.0
Dokončené byty;2022;Děčín;pěti a více pokojové;33.0
Dokončené byty;2022;Chomutov;Celkem;218.0
Dokončené byty;2022;Chomutov;garsoniéry;27.0
Dokončené byty;2022;Chomutov;jednopokojové včetně dvougarsoniér;4.0
Dokončené byty;2022;Chomutov;dvoupokojové;21.0
Dokončené byty;2022;Chomutov;třípokojové;71.0
Dokončené byty;2022;Chomutov;čtyřpokojové;67.0
Dokončené byty;2022;Chomutov;pěti a více pokojové;28.0
Dokončené byty;2022;Litoměřice;Celkem;290.0
Dokončené byty;2022;Litoměřice;garsoniéry;25.0
Dokončené byty;2022;Litoměřice;jednopokojové včetně dvougarsoniér;9.0
Dokončené byty;2022;Litoměřice;dvoupokojové;34.0
Dokončené byty;2022;Litoměřice;třípokojové;53.0
Dokončené byty;2022;Litoměřice;čtyřpokojové;96.0
Dokončené byty;2022;Litoměřice;pěti a více pokojové;73.0
Dokončené byty;2022;Louny;Celkem;241.0
Dokončené byty;2022;Louny;garsoniéry;10.0
Dokončené byty;2022;Louny;jednopokojové včetně dvougarsoniér;32.0
Dokončené byty;2022;Louny;dvoupokojové;47.0
Dokončené byty;2022;Louny;třípokojové;47.0
Dokončené byty;2022;Louny;čtyřpokojové;70.0
Dokončené byty;2022;Louny;pěti a více pokojové;35.0
Dokončené byty;2022;Most;Celkem;97.0
Dokončené byty;2022;Most;garsoniéry;0.0
Dokončené byty;2022;Most;jednopokojové včetně dvougarsoniér;1.0
Dokončené byty;2022;Most;dvoupokojové;4.0
Dokončené byty;2022;Most;třípokojové;18.0
Dokončené byty;2022;Most;čtyřpokojové;49.0
Dokončené byty;2022;Most;pěti a více pokojové;25.0
Dokončené byty;2022;Teplice;Celkem;195.0
Dokončené byty;2022;Teplice;garsoniéry;0.0
Dokončené byty;2022;Teplice;jednopokojové včetně dvougarsoniér;7.0
Dokončené byty;2022;Teplice;dvoupokojové;24.0
Dokončené byty;2022;Teplice;třípokojové;31.0
Dokončené byty;2022;Teplice;čtyřpokojové;86.0
Dokončené byty;2022;Teplice;pěti a více pokojové;47.0
Dokončené byty;2022;Ústí nad Labem;Celkem;136.0
Dokončené byty;2022;Ústí nad Labem;garsoniéry;1.0
Dokončené byty;2022;Ústí nad Labem;jednopokojové včetně dvougarsoniér;4.0
Dokončené byty;2022;Ústí nad Labem;dvoupokojové;7.0
Dokončené byty;2022;Ústí nad Labem;třípokojové;26.0
Dokončené byty;2022;Ústí nad Labem;čtyřpokojové;62.0
Dokončené byty;2022;Ústí nad Labem;pěti a více pokojové;36.0
Dokončené byty;2022;Česká Lípa;Celkem;172.0
Dokončené byty;2022;Česká Lípa;garsoniéry;4.0
Dokončené byty;2022;Česká Lípa;jednopokojové včetně dvougarsoniér;9.0
Dokončené byty;2022;Česká Lípa;dvoupokojové;30.0
Dokončené byty;2022;Česká Lípa;třípokojové;29.0
Dokončené byty;2022;Česká Lípa;čtyřpokojové;60.0
Dokončené byty;2022;Česká Lípa;pěti a více pokojové;40.0
Dokončené byty;2022;Jablonec nad Nisou;Celkem;244.0
Dokončené byty;2022;Jablonec nad Nisou;garsoniéry;20.0
Dokončené byty;2022;Jablonec nad Nisou;jednopokojové včetně dvougarsoniér;26.0
Dokončené byty;2022;Jablonec nad Nisou;dvoupokojové;63.0
Dokončené byty;2022;Jablonec nad Nisou;třípokojové;33.0
Dokončené byty;2022;Jablonec nad Nisou;čtyřpokojové;64.0
Dokončené byty;2022;Jablonec nad Nisou;pěti a více pokojové;38.0
Dokončené byty;2022;Liberec;Celkem;388.0
Dokončené byty;2022;Liberec;garsoniéry;9.0
Dokončené byty;2022;Liberec;jednopokojové včetně dvougarsoniér;21.0
Dokončené byty;2022;Liberec;dvoupokojové;72.0
Dokončené byty;2022;Liberec;třípokojové;84.0
Dokončené byty;2022;Liberec;čtyřpokojové;103.0
Dokončené byty;2022;Liberec;pěti a více pokojové;99.0
Dokončené byty;2022;Semily;Celkem;242.0
Dokončené byty;2022;Semily;garsoniéry;2.0
Dokončené byty;2022;Semily;jednopokojové včetně dvougarsoniér;22.0
Dokončené byty;2022;Semily;dvoupokojové;47.0
Dokončené byty;2022;Semily;třípokojové;47.0
Dokončené byty;2022;Semily;čtyřpokojové;59.0
Dokončené byty;2022;Semily;pěti a více pokojové;65.0
Dokončené byty;2022;Hradec Králové;Celkem;660.0
Dokončené byty;2022;Hradec Králové;garsoniéry;23.0
Dokončené byty;2022;Hradec Králové;jednopokojové včetně dvougarsoniér;49.0
Dokončené byty;2022;Hradec Králové;dvoupokojové;174.0
Dokončené byty;2022;Hradec Králové;třípokojové;148.0
Dokončené byty;2022;Hradec Králové;čtyřpokojové;156.0
Dokončené byty;2022;Hradec Králové;pěti a více pokojové;110.0
Dokončené byty;2022;Jičín;Celkem;170.0
Dokončené byty;2022;Jičín;garsoniéry;2.0
Dokončené byty;2022;Jičín;jednopokojové včetně dvougarsoniér;4.0
Dokončené byty;2022;Jičín;dvoupokojové;13.0
Dokončené byty;2022;Jičín;třípokojové;23.0
Dokončené byty;2022;Jičín;čtyřpokojové;56.0
Dokončené byty;2022;Jičín;pěti a více pokojové;72.0
Dokončené byty;2022;Náchod;Celkem;265.0
Dokončené byty;2022;Náchod;garsoniéry;13.0
Dokončené byty;2022;Náchod;jednopokojové včetně dvougarsoniér;34.0
Dokončené byty;2022;Náchod;dvoupokojové;44.0
Dokončené byty;2022;Náchod;třípokojové;54.0
Dokončené byty;2022;Náchod;čtyřpokojové;63.0
Dokončené byty;2022;Náchod;pěti a více pokojové;57.0
Dokončené byty;2022;Rychnov nad Kněžnou;Celkem;364.0
Dokončené byty;2022;Rychnov nad Kněžnou;garsoniéry;1.0
Dokončené byty;2022;Rychnov nad Kněžnou;jednopokojové včetně dvougarsoniér;22.0
Dokončené byty;2022;Rychnov nad Kněžnou;dvoupokojové;104.0
Dokončené byty;2022;Rychnov nad Kněžnou;třípokojové;108.0
Dokončené byty;2022;Rychnov nad Kněžnou;čtyřpokojové;73.0
Dokončené byty;2022;Rychnov nad Kněžnou;pěti a více pokojové;56.0
Dokončené byty;2022;Trutnov;Celkem;357.0
Dokončené byty;2022;Trutnov;garsoniéry;5.0
Dokončené byty;2022;Trutnov;jednopokojové včetně dvougarsoniér;18.0
Dokončené byty;2022;Trutnov;dvoupokojové;96.0
Dokončené byty;2022;Trutnov;třípokojové;95.0
Dokončené byty;2022;Trutnov;čtyřpokojové;68.0
Dokončené byty;2022;Trutnov;pěti a více pokojové;75.0
Dokončené byty;2022;Chrudim;Celkem;352.0
Dokončené byty;2022;Chrudim;garsoniéry;10.0
Dokončené byty;2022;Chrudim;jednopokojové včetně dvougarsoniér;26.0
Dokončené byty;2022;Chrudim;dvoupokojové;84.0
Dokončené byty;2022;Chrudim;třípokojové;50.0
Dokončené byty;2022;Chrudim;čtyřpokojové;107.0
Dokončené byty;2022;Chrudim;pěti a více pokojové;75.0
Dokončené byty;2022;Pardubice;Celkem;827.0
Dokončené byty;2022;Pardubice;garsoniéry;72.0
Dokončené byty;2022;Pardubice;jednopokojové včetně dvougarsoniér;27.0
Dokončené byty;2022;Pardubice;dvoupokojové;116.0
Dokončené byty;2022;Pardubice;třípokojové;152.0
Dokončené byty;2022;Pardubice;čtyřpokojové;275.0
Dokončené byty;2022;Pardubice;pěti a více pokojové;185.0
Dokončené byty;2022;Svitavy;Celkem;249.0
Dokončené byty;2022;Svitavy;garsoniéry;4.0
