Ukazatel,Typ údaje,Území,CZ-COICOP,Roky,value
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Potraviny a nealkoholické nápoje,2023,149.7
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Potraviny a nealkoholické nápoje,2024,146.2
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Alkoholické nápoje, tabák a narkotika",2012,89.8
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Alkoholické nápoje, tabák a narkotika",2013,93.1
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Alkoholické nápoje, tabák a narkotika",2014,95.6
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Alkoholické nápoje, tabák a narkotika",2015,100.0
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Alkoholické nápoje, tabák a narkotika",2016,104.4
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Alkoholické nápoje, tabák a narkotika",2017,106.1
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Alkoholické nápoje, tabák a narkotika",2018,109.3
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Alkoholické nápoje, tabák a narkotika",2019,111.6
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Alkoholické nápoje, tabák a narkotika",2020,120.1
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Alkoholické nápoje, tabák a narkotika",2021,130.2
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Alkoholické nápoje, tabák a narkotika",2022,138.1
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Alkoholické nápoje, tabák a narkotika",2023,147.2
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Alkoholické nápoje, tabák a narkotika",2024,154.7
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Odívání a obuv,2012,94.4
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Odívání a obuv,2013,93.7
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Odívání a obuv,2014,96.7
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Odívání a obuv,2015,100.0
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Odívání a obuv,2016,101.9
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Odívání a obuv,2017,102.2
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Odívání a obuv,2018,101.1
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Odívání a obuv,2019,99.9
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Odívání a obuv,2020,103.6
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Odívání a obuv,2021,110.3
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Odívání a obuv,2022,130.7
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Odívání a obuv,2023,145.2
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Odívání a obuv,2024,148.9
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bydlení, voda, energie, paliva",2012,99.4
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bydlení, voda, energie, paliva",2013,101.5
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bydlení, voda, energie, paliva",2014,98.9
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bydlení, voda, energie, paliva",2015,100.0
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bydlení, voda, energie, paliva",2016,100.2
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bydlení, voda, energie, paliva",2017,100.5
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bydlení, voda, energie, paliva",2018,102.7
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bydlení, voda, energie, paliva",2019,108.2
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bydlení, voda, energie, paliva",2020,111.7
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bydlení, voda, energie, paliva",2021,111.5
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bydlení, voda, energie, paliva",2022,134.2
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bydlení, voda, energie, paliva",2023,171.8
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bydlení, voda, energie, paliva",2024,180.5
