Území;Čtvrtletí;Odvětví ekonomické činnosti;Ukazatel;value
Česko;4. čtvrtletí 2024;B - Těžba a dobývání;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);-1.4219253309
Česko;4. čtvrtletí 2024;B - Těžba a dobývání;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);92.1851978964
Česko;4. čtvrtletí 2024;B - Těžba a dobývání;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);54593.1538736636
Česko;4. čtvrtletí 2024;B - Těžba a dobývání;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);662.6407679209
Česko;4. čtvrtletí 2024;B - Těžba a dobývání;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);101.2286936092
Česko;4. čtvrtletí 2024;B - Těžba a dobývání;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);16.8705318455
Česko;4. čtvrtletí 2024;B - Těžba a dobývání;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);-1.4140264322
Česko;4. čtvrtletí 2024;B - Těžba a dobývání;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);92.2665540468
Česko;4. čtvrtletí 2024;B - Těžba a dobývání;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);54278.6964409533
Česko;4. čtvrtletí 2024;B - Těžba a dobývání;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);611.5028309382
Česko;4. čtvrtletí 2024;B - Těžba a dobývání;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);101.1394350809
Česko;4. čtvrtletí 2024;C - Zpracovatelský průmysl;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);1050.3364085011
Česko;4. čtvrtletí 2024;C - Zpracovatelský průmysl;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);-20.5249345388
Česko;4. čtvrtletí 2024;C - Zpracovatelský průmysl;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);98.0833247299
Česko;4. čtvrtletí 2024;C - Zpracovatelský průmysl;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);47330.8837425885
Česko;4. čtvrtletí 2024;C - Zpracovatelský průmysl;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);3107.4570944637
Česko;4. čtvrtletí 2024;C - Zpracovatelský průmysl;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);107.0267216496
Česko;4. čtvrtletí 2024;C - Zpracovatelský průmysl;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);1069.0004701965
Česko;4. čtvrtletí 2024;C - Zpracovatelský průmysl;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);-19.6222239629
Česko;4. čtvrtletí 2024;C - Zpracovatelský průmysl;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);98.197518381
Česko;4. čtvrtletí 2024;C - Zpracovatelský průmysl;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);46504.516908432
Česko;4. čtvrtletí 2024;C - Zpracovatelský průmysl;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);3002.614634744
Česko;4. čtvrtletí 2024;C - Zpracovatelský průmysl;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);106.9022605399
Česko;4. čtvrtletí 2024;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);35.4414215163
Česko;4. čtvrtletí 2024;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);0.4240543142
Česko;4. čtvrtletí 2024;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);101.2109828581
Česko;4. čtvrtletí 2024;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);72424.4339865265
Česko;4. čtvrtletí 2024;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);3222.6266303039
Česko;4. čtvrtletí 2024;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);104.6568532722
Česko;4. čtvrtletí 2024;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);35.9917542759
Česko;4. čtvrtletí 2024;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);0.4995114135
Česko;4. čtvrtletí 2024;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);101.4073819325
Česko;4. čtvrtletí 2024;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);71317.0264867104
Česko;4. čtvrtletí 2024;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);3041.1187443269
Česko;4. čtvrtletí 2024;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);104.4541608378
