Stát;Ukazatel;Čtvrtletí;value
Česko;Zahájené byty;2. čtvrtletí 1999;10144.0
Česko;Zahájené byty;1. čtvrtletí 1999;6447.0
Česko;Zahájené byty;4. čtvrtletí 1998;7790.0
Česko;Zahájené byty;3. čtvrtletí 1998;9534.0
Česko;Zahájené byty;2. čtvrtletí 1998;9943.0
Česko;Zahájené byty;1. čtvrtletí 1998;7760.0
Česko;Zahájené byty - nová výstavba;1. čtvrtletí 2025;6884.0
Česko;Zahájené byty - nová výstavba;4. čtvrtletí 2024;7826.0
Česko;Zahájené byty - nová výstavba;3. čtvrtletí 2024;8592.0
Česko;Zahájené byty - nová výstavba;2. čtvrtletí 2024;7783.0
Česko;Zahájené byty - nová výstavba;1. čtvrtletí 2024;6955.0
Česko;Zahájené byty - nová výstavba;4. čtvrtletí 2023;6833.0
Česko;Zahájené byty - nová výstavba;3. čtvrtletí 2023;7839.0
Česko;Zahájené byty - nová výstavba;2. čtvrtletí 2023;6972.0
Česko;Zahájené byty - nová výstavba;1. čtvrtletí 2023;7202.0
Česko;Zahájené byty - nová výstavba;4. čtvrtletí 2022;8785.0
Česko;Zahájené byty - nová výstavba;3. čtvrtletí 2022;7891.0
Česko;Zahájené byty - nová výstavba;2. čtvrtletí 2022;10357.0
Česko;Zahájené byty - nová výstavba;1. čtvrtletí 2022;9116.0
Česko;Zahájené byty - nová výstavba;4. čtvrtletí 2021;9820.0
Česko;Zahájené byty - nová výstavba;3. čtvrtletí 2021;11345.0
Česko;Zahájené byty - nová výstavba;2. čtvrtletí 2021;10605.0
Česko;Zahájené byty - nová výstavba;1. čtvrtletí 2021;7136.0
Česko;Zahájené byty - nová výstavba;4. čtvrtletí 2020;6566.0
Česko;Zahájené byty - nová výstavba;3. čtvrtletí 2020;6766.0
Česko;Zahájené byty - nová výstavba;2. čtvrtletí 2020;8099.0
Česko;Zahájené byty - nová výstavba;1. čtvrtletí 2020;7857.0
Česko;Zahájené byty - nová výstavba;4. čtvrtletí 2019;8259.0
Česko;Zahájené byty - nová výstavba;3. čtvrtletí 2019;8668.0
Česko;Zahájené byty - nová výstavba;2. čtvrtletí 2019;8022.0
Česko;Zahájené byty - nová výstavba;1. čtvrtletí 2019;7975.0
Česko;Zahájené byty - nová výstavba;4. čtvrtletí 2018;7134.0
Česko;Zahájené byty - nová výstavba;3. čtvrtletí 2018;6793.0
Česko;Zahájené byty - nová výstavba;2. čtvrtletí 2018;7711.0
Česko;Zahájené byty - nová výstavba;1. čtvrtletí 2018;5956.0
Česko;Zahájené byty - nová výstavba;4. čtvrtletí 2017;
Česko;Zahájené byty - nová výstavba;3. čtvrtletí 2017;
Česko;Zahájené byty - nová výstavba;2. čtvrtletí 2017;
Česko;Zahájené byty - nová výstavba;1. čtvrtletí 2017;5378.0
Česko;Zahájené byty - nová výstavba;4. čtvrtletí 2016;
Česko;Zahájené byty - nová výstavba;3. čtvrtletí 2016;
Česko;Zahájené byty - nová výstavba;2. čtvrtletí 2016;
Česko;Zahájené byty - nová výstavba;1. čtvrtletí 2016;4120.0
Česko;Zahájené byty - nová výstavba;4. čtvrtletí 2015;
Česko;Zahájené byty - nová výstavba;3. čtvrtletí 2015;
Česko;Zahájené byty - nová výstavba;2. čtvrtletí 2015;
Česko;Zahájené byty - nová výstavba;1. čtvrtletí 2015;3805.0
Česko;Zahájené byty - nová výstavba;4. čtvrtletí 2014;
Česko;Zahájené byty - nová výstavba;3. čtvrtletí 2014;
Česko;Zahájené byty - nová výstavba;2. čtvrtletí 2014;
Česko;Zahájené byty - nová výstavba;1. čtvrtletí 2014;4204.0
Česko;Zahájené byty - nová výstavba;4. čtvrtletí 2013;
Česko;Zahájené byty - nová výstavba;3. čtvrtletí 2013;
Česko;Zahájené byty - nová výstavba;2. čtvrtletí 2013;
Česko;Zahájené byty - nová výstavba;1. čtvrtletí 2013;4089.0
Česko;Zahájené byty - nová výstavba;4. čtvrtletí 2012;
Česko;Zahájené byty - nová výstavba;3. čtvrtletí 2012;
Česko;Zahájené byty - nová výstavba;2. čtvrtletí 2012;
Česko;Zahájené byty - nová výstavba;1. čtvrtletí 2012;5403.0
Česko;Zahájené byty - nová výstavba;4. čtvrtletí 2011;
Česko;Zahájené byty - nová výstavba;3. čtvrtletí 2011;
Česko;Zahájené byty - nová výstavba;2. čtvrtletí 2011;
Česko;Zahájené byty - nová výstavba;1. čtvrtletí 2011;5499.0
Česko;Zahájené byty - nová výstavba;4. čtvrtletí 2010;
Česko;Zahájené byty - nová výstavba;3. čtvrtletí 2010;
Česko;Zahájené byty - nová výstavba;2. čtvrtletí 2010;
Česko;Zahájené byty - nová výstavba;1. čtvrtletí 2010;5174.0
Česko;Zahájené byty - nová výstavba;4. čtvrtletí 2009;
Česko;Zahájené byty - nová výstavba;3. čtvrtletí 2009;
Česko;Zahájené byty - nová výstavba;2. čtvrtletí 2009;
Česko;Zahájené byty - nová výstavba;1. čtvrtletí 2009;6974.0
Česko;Zahájené byty - nová výstavba;4. čtvrtletí 2008;
Česko;Zahájené byty - nová výstavba;3. čtvrtletí 2008;
Česko;Zahájené byty - nová výstavba;2. čtvrtletí 2008;
Česko;Zahájené byty - nová výstavba;1. čtvrtletí 2008;8255.0
Česko;Zahájené byty - nová výstavba;4. čtvrtletí 2007;
Česko;Zahájené byty - nová výstavba;3. čtvrtletí 2007;
Česko;Zahájené byty - nová výstavba;2. čtvrtletí 2007;
Česko;Zahájené byty - nová výstavba;1. čtvrtletí 2007;
Česko;Zahájené byty - nová výstavba;4. čtvrtletí 2006;
Česko;Zahájené byty - nová výstavba;3. čtvrtletí 2006;
Česko;Zahájené byty - nová výstavba;2. čtvrtletí 2006;
Česko;Zahájené byty - nová výstavba;1. čtvrtletí 2006;
Česko;Zahájené byty - nová výstavba;4. čtvrtletí 2005;
Česko;Zahájené byty - nová výstavba;3. čtvrtletí 2005;
Česko;Zahájené byty - nová výstavba;2. čtvrtletí 2005;
Česko;Zahájené byty - nová výstavba;1. čtvrtletí 2005;
Česko;Zahájené byty - nová výstavba;4. čtvrtletí 2004;
Česko;Zahájené byty - nová výstavba;3. čtvrtletí 2004;
Česko;Zahájené byty - nová výstavba;2. čtvrtletí 2004;
Česko;Zahájené byty - nová výstavba;1. čtvrtletí 2004;
Česko;Zahájené byty - nová výstavba;4. čtvrtletí 2003;
Česko;Zahájené byty - nová výstavba;3. čtvrtletí 2003;
Česko;Zahájené byty - nová výstavba;2. čtvrtletí 2003;
Česko;Zahájené byty - nová výstavba;1. čtvrtletí 2003;
Česko;Zahájené byty - nová výstavba;4. čtvrtletí 2002;
Česko;Zahájené byty - nová výstavba;3. čtvrtletí 2002;
Česko;Zahájené byty - nová výstavba;2. čtvrtletí 2002;
Česko;Zahájené byty - nová výstavba;1. čtvrtletí 2002;
Česko;Zahájené byty - nová výstavba;4. čtvrtletí 2001;
Česko;Zahájené byty - nová výstavba;3. čtvrtletí 2001;
Česko;Zahájené byty - nová výstavba;2. čtvrtletí 2001;
Česko;Zahájené byty - nová výstavba;1. čtvrtletí 2001;
Česko;Zahájené byty - nová výstavba;4. čtvrtletí 2000;
Česko;Zahájené byty - nová výstavba;3. čtvrtletí 2000;
Česko;Zahájené byty - nová výstavba;2. čtvrtletí 2000;
Česko;Zahájené byty - nová výstavba;1. čtvrtletí 2000;
Česko;Zahájené byty - nová výstavba;4. čtvrtletí 1999;
Česko;Zahájené byty - nová výstavba;3. čtvrtletí 1999;
Česko;Zahájené byty - nová výstavba;2. čtvrtletí 1999;
Česko;Zahájené byty - nová výstavba;1. čtvrtletí 1999;
Česko;Zahájené byty - nová výstavba;4. čtvrtletí 1998;
Česko;Zahájené byty - nová výstavba;3. čtvrtletí 1998;
Česko;Zahájené byty - nová výstavba;2. čtvrtletí 1998;
Česko;Zahájené byty - nová výstavba;1. čtvrtletí 1998;
Česko;Zahájené byty - změna dokončených staveb;1. čtvrtletí 2025;1413.0
Česko;Zahájené byty - změna dokončených staveb;4. čtvrtletí 2024;1470.0
Česko;Zahájené byty - změna dokončených staveb;3. čtvrtletí 2024;1496.0
Česko;Zahájené byty - změna dokončených staveb;2. čtvrtletí 2024;1382.0
Česko;Zahájené byty - změna dokončených staveb;1. čtvrtletí 2024;1108.0
Česko;Zahájené byty - změna dokončených staveb;4. čtvrtletí 2023;1566.0
Česko;Zahájené byty - změna dokončených staveb;3. čtvrtletí 2023;1359.0
Česko;Zahájené byty - změna dokončených staveb;2. čtvrtletí 2023;1637.0
Česko;Zahájené byty - změna dokončených staveb;1. čtvrtletí 2023;2296.0
Česko;Zahájené byty - změna dokončených staveb;4. čtvrtletí 2022;1483.0
Česko;Zahájené byty - změna dokončených staveb;3. čtvrtletí 2022;1386.0
Česko;Zahájené byty - změna dokončených staveb;2. čtvrtletí 2022;1528.0
Česko;Zahájené byty - změna dokončených staveb;1. čtvrtletí 2022;1696.0
Česko;Zahájené byty - změna dokončených staveb;4. čtvrtletí 2021;1628.0
Česko;Zahájené byty - změna dokončených staveb;3. čtvrtletí 2021;1481.0
Česko;Zahájené byty - změna dokončených staveb;2. čtvrtletí 2021;1673.0
Česko;Zahájené byty - změna dokončených staveb;1. čtvrtletí 2021;1304.0
Česko;Zahájené byty - změna dokončených staveb;4. čtvrtletí 2020;1535.0
Česko;Zahájené byty - změna dokončených staveb;3. čtvrtletí 2020;1744.0
Česko;Zahájené byty - změna dokončených staveb;2. čtvrtletí 2020;1408.0
Česko;Zahájené byty - změna dokončených staveb;1. čtvrtletí 2020;1279.0
Česko;Zahájené byty - změna dokončených staveb;4. čtvrtletí 2019;1281.0
Česko;Zahájené byty - změna dokončených staveb;3. čtvrtletí 2019;1368.0
Česko;Zahájené byty - změna dokončených staveb;2. čtvrtletí 2019;1513.0
Česko;Zahájené byty - změna dokončených staveb;1. čtvrtletí 2019;1591.0
Česko;Zahájené byty - změna dokončených staveb;4. čtvrtletí 2018;1245.0
Česko;Zahájené byty - změna dokončených staveb;3. čtvrtletí 2018;1393.0
Česko;Zahájené byty - změna dokončených staveb;2. čtvrtletí 2018;1227.0
Česko;Zahájené byty - změna dokončených staveb;1. čtvrtletí 2018;1662.0
Česko;Zahájené byty - změna dokončených staveb;4. čtvrtletí 2017;
Česko;Zahájené byty - změna dokončených staveb;3. čtvrtletí 2017;
Česko;Zahájené byty - změna dokončených staveb;2. čtvrtletí 2017;
Česko;Zahájené byty - změna dokončených staveb;1. čtvrtletí 2017;1147.0
Česko;Zahájené byty - změna dokončených staveb;4. čtvrtletí 2016;
Česko;Zahájené byty - změna dokončených staveb;3. čtvrtletí 2016;
Česko;Zahájené byty - změna dokončených staveb;2. čtvrtletí 2016;
Česko;Zahájené byty - změna dokončených staveb;1. čtvrtletí 2016;1044.0
Česko;Zahájené byty - změna dokončených staveb;4. čtvrtletí 2015;
Česko;Zahájené byty - změna dokončených staveb;3. čtvrtletí 2015;
Česko;Zahájené byty - změna dokončených staveb;2. čtvrtletí 2015;
Česko;Zahájené byty - změna dokončených staveb;1. čtvrtletí 2015;1252.0
Česko;Zahájené byty - změna dokončených staveb;4. čtvrtletí 2014;
Česko;Zahájené byty - změna dokončených staveb;3. čtvrtletí 2014;
Česko;Zahájené byty - změna dokončených staveb;2. čtvrtletí 2014;
Česko;Zahájené byty - změna dokončených staveb;1. čtvrtletí 2014;1245.0
Česko;Zahájené byty - změna dokončených staveb;4. čtvrtletí 2013;
Česko;Zahájené byty - změna dokončených staveb;3. čtvrtletí 2013;
Česko;Zahájené byty - změna dokončených staveb;2. čtvrtletí 2013;
Česko;Zahájené byty - změna dokončených staveb;1. čtvrtletí 2013;1108.0
Česko;Zahájené byty - změna dokončených staveb;4. čtvrtletí 2012;
Česko;Zahájené byty - změna dokončených staveb;3. čtvrtletí 2012;
Česko;Zahájené byty - změna dokončených staveb;2. čtvrtletí 2012;
Česko;Zahájené byty - změna dokončených staveb;1. čtvrtletí 2012;1142.0
Česko;Zahájené byty - změna dokončených staveb;4. čtvrtletí 2011;
Česko;Zahájené byty - změna dokončených staveb;3. čtvrtletí 2011;
Česko;Zahájené byty - změna dokončených staveb;2. čtvrtletí 2011;
Česko;Zahájené byty - změna dokončených staveb;1. čtvrtletí 2011;1220.0
Česko;Zahájené byty - změna dokončených staveb;4. čtvrtletí 2010;
Česko;Zahájené byty - změna dokončených staveb;3. čtvrtletí 2010;
Česko;Zahájené byty - změna dokončených staveb;2. čtvrtletí 2010;
Česko;Zahájené byty - změna dokončených staveb;1. čtvrtletí 2010;1098.0
Česko;Zahájené byty - změna dokončených staveb;4. čtvrtletí 2009;
Česko;Zahájené byty - změna dokončených staveb;3. čtvrtletí 2009;
Česko;Zahájené byty - změna dokončených staveb;2. čtvrtletí 2009;
Česko;Zahájené byty - změna dokončených staveb;1. čtvrtletí 2009;1747.0
Česko;Zahájené byty - změna dokončených staveb;4. čtvrtletí 2008;
Česko;Zahájené byty - změna dokončených staveb;3. čtvrtletí 2008;
Česko;Zahájené byty - změna dokončených staveb;2. čtvrtletí 2008;
Česko;Zahájené byty - změna dokončených staveb;1. čtvrtletí 2008;1315.0
Česko;Zahájené byty - změna dokončených staveb;4. čtvrtletí 2007;
Česko;Zahájené byty - změna dokončených staveb;3. čtvrtletí 2007;
Česko;Zahájené byty - změna dokončených staveb;2. čtvrtletí 2007;
Česko;Zahájené byty - změna dokončených staveb;1. čtvrtletí 2007;
Česko;Zahájené byty - změna dokončených staveb;4. čtvrtletí 2006;
Česko;Zahájené byty - změna dokončených staveb;3. čtvrtletí 2006;
Česko;Zahájené byty - změna dokončených staveb;2. čtvrtletí 2006;
Česko;Zahájené byty - změna dokončených staveb;1. čtvrtletí 2006;
Česko;Zahájené byty - změna dokončených staveb;4. čtvrtletí 2005;
Česko;Zahájené byty - změna dokončených staveb;3. čtvrtletí 2005;
Česko;Zahájené byty - změna dokončených staveb;2. čtvrtletí 2005;
Česko;Zahájené byty - změna dokončených staveb;1. čtvrtletí 2005;
Česko;Zahájené byty - změna dokončených staveb;4. čtvrtletí 2004;
Česko;Zahájené byty - změna dokončených staveb;3. čtvrtletí 2004;
Česko;Zahájené byty - změna dokončených staveb;2. čtvrtletí 2004;
Česko;Zahájené byty - změna dokončených staveb;1. čtvrtletí 2004;
Česko;Zahájené byty - změna dokončených staveb;4. čtvrtletí 2003;
Česko;Zahájené byty - změna dokončených staveb;3. čtvrtletí 2003;
Česko;Zahájené byty - změna dokončených staveb;2. čtvrtletí 2003;
Česko;Zahájené byty - změna dokončených staveb;1. čtvrtletí 2003;
Česko;Zahájené byty - změna dokončených staveb;4. čtvrtletí 2002;
Česko;Zahájené byty - změna dokončených staveb;3. čtvrtletí 2002;
Česko;Zahájené byty - změna dokončených staveb;2. čtvrtletí 2002;
Česko;Zahájené byty - změna dokončených staveb;1. čtvrtletí 2002;
Česko;Zahájené byty - změna dokončených staveb;4. čtvrtletí 2001;
Česko;Zahájené byty - změna dokončených staveb;3. čtvrtletí 2001;
Česko;Zahájené byty - změna dokončených staveb;2. čtvrtletí 2001;
Česko;Zahájené byty - změna dokončených staveb;1. čtvrtletí 2001;
Česko;Zahájené byty - změna dokončených staveb;4. čtvrtletí 2000;
Česko;Zahájené byty - změna dokončených staveb;3. čtvrtletí 2000;
Česko;Zahájené byty - změna dokončených staveb;2. čtvrtletí 2000;
Česko;Zahájené byty - změna dokončených staveb;1. čtvrtletí 2000;
Česko;Zahájené byty - změna dokončených staveb;4. čtvrtletí 1999;
Česko;Zahájené byty - změna dokončených staveb;3. čtvrtletí 1999;
Česko;Zahájené byty - změna dokončených staveb;2. čtvrtletí 1999;
Česko;Zahájené byty - změna dokončených staveb;1. čtvrtletí 1999;
Česko;Zahájené byty - změna dokončených staveb;4. čtvrtletí 1998;
Česko;Zahájené byty - změna dokončených staveb;3. čtvrtletí 1998;
Česko;Zahájené byty - změna dokončených staveb;2. čtvrtletí 1998;
Česko;Zahájené byty - změna dokončených staveb;1. čtvrtletí 1998;
Česko;Zahájené byty v nových rodinných domech;1. čtvrtletí 2025;2642.0
Česko;Zahájené byty v nových rodinných domech;4. čtvrtletí 2024;2981.0
Česko;Zahájené byty v nových rodinných domech;3. čtvrtletí 2024;3417.0
Česko;Zahájené byty v nových rodinných domech;2. čtvrtletí 2024;3530.0
Česko;Zahájené byty v nových rodinných domech;1. čtvrtletí 2024;3143.0
Česko;Zahájené byty v nových rodinných domech;4. čtvrtletí 2023;3313.0
Česko;Zahájené byty v nových rodinných domech;3. čtvrtletí 2023;3490.0
Česko;Zahájené byty v nových rodinných domech;2. čtvrtletí 2023;4024.0
Česko;Zahájené byty v nových rodinných domech;1. čtvrtletí 2023;3729.0
Česko;Zahájené byty v nových rodinných domech;4. čtvrtletí 2022;4146.0
Česko;Zahájené byty v nových rodinných domech;3. čtvrtletí 2022;4412.0
Česko;Zahájené byty v nových rodinných domech;2. čtvrtletí 2022;5798.0
Česko;Zahájené byty v nových rodinných domech;1. čtvrtletí 2022;5753.0
Česko;Zahájené byty v nových rodinných domech;4. čtvrtletí 2021;5622.0
Česko;Zahájené byty v nových rodinných domech;3. čtvrtletí 2021;5490.0
Česko;Zahájené byty v nových rodinných domech;2. čtvrtletí 2021;5955.0
Česko;Zahájené byty v nových rodinných domech;1. čtvrtletí 2021;4204.0
Česko;Zahájené byty v nových rodinných domech;4. čtvrtletí 2020;4357.0
Česko;Zahájené byty v nových rodinných domech;3. čtvrtletí 2020;4843.0
Česko;Zahájené byty v nových rodinných domech;2. čtvrtletí 2020;5370.0
Česko;Zahájené byty v nových rodinných domech;1. čtvrtletí 2020;4876.0
Česko;Zahájené byty v nových rodinných domech;4. čtvrtletí 2019;5081.0
Česko;Zahájené byty v nových rodinných domech;3. čtvrtletí 2019;5079.0
Česko;Zahájené byty v nových rodinných domech;2. čtvrtletí 2019;5332.0
Česko;Zahájené byty v nových rodinných domech;1. čtvrtletí 2019;4455.0
Česko;Zahájené byty v nových rodinných domech;4. čtvrtletí 2018;4546.0
Česko;Zahájené byty v nových rodinných domech;3. čtvrtletí 2018;5074.0
Česko;Zahájené byty v nových rodinných domech;2. čtvrtletí 2018;5537.0
Česko;Zahájené byty v nových rodinných domech;1. čtvrtletí 2018;4029.0
Česko;Zahájené byty v nových rodinných domech;4. čtvrtletí 2017;4568.0
Česko;Zahájené byty v nových rodinných domech;3. čtvrtletí 2017;5390.0
Česko;Zahájené byty v nových rodinných domech;2. čtvrtletí 2017;5089.0
Česko;Zahájené byty v nových rodinných domech;1. čtvrtletí 2017;3631.0
Česko;Zahájené byty v nových rodinných domech;4. čtvrtletí 2016;4192.0
Česko;Zahájené byty v nových rodinných domech;3. čtvrtletí 2016;4290.0
Česko;Zahájené byty v nových rodinných domech;2. čtvrtletí 2016;4579.0
Česko;Zahájené byty v nových rodinných domech;1. čtvrtletí 2016;2804.0
Česko;Zahájené byty v nových rodinných domech;4. čtvrtletí 2015;3519.0
Česko;Zahájené byty v nových rodinných domech;3. čtvrtletí 2015;3742.0
Česko;Zahájené byty v nových rodinných domech;2. čtvrtletí 2015;3888.0
Česko;Zahájené byty v nových rodinných domech;1. čtvrtletí 2015;2578.0
Česko;Zahájené byty v nových rodinných domech;4. čtvrtletí 2014;2870.0
Česko;Zahájené byty v nových rodinných domech;3. čtvrtletí 2014;3629.0
Česko;Zahájené byty v nových rodinných domech;2. čtvrtletí 2014;3446.0
Česko;Zahájené byty v nových rodinných domech;1. čtvrtletí 2014;2495.0
Česko;Zahájené byty v nových rodinných domech;4. čtvrtletí 2013;2683.0
Česko;Zahájené byty v nových rodinných domech;3. čtvrtletí 2013;3604.0
Česko;Zahájené byty v nových rodinných domech;2. čtvrtletí 2013;3469.0
Česko;Zahájené byty v nových rodinných domech;1. čtvrtletí 2013;2734.0
Česko;Zahájené byty v nových rodinných domech;4. čtvrtletí 2012;3448.0
Česko;Zahájené byty v nových rodinných domech;3. čtvrtletí 2012;3982.0
Česko;Zahájené byty v nových rodinných domech;2. čtvrtletí 2012;3967.0
Česko;Zahájené byty v nových rodinných domech;1. čtvrtletí 2012;3002.0
Česko;Zahájené byty v nových rodinných domech;4. čtvrtletí 2011;3759.0
Česko;Zahájené byty v nových rodinných domech;3. čtvrtletí 2011;4889.0
Česko;Zahájené byty v nových rodinných domech;2. čtvrtletí 2011;4964.0
Česko;Zahájené byty v nových rodinných domech;1. čtvrtletí 2011;3448.0
Česko;Zahájené byty v nových rodinných domech;4. čtvrtletí 2010;3671.0
Česko;Zahájené byty v nových rodinných domech;3. čtvrtletí 2010;4871.0
Česko;Zahájené byty v nových rodinných domech;2. čtvrtletí 2010;4638.0
Česko;Zahájené byty v nových rodinných domech;1. čtvrtletí 2010;3431.0
Česko;Zahájené byty v nových rodinných domech;4. čtvrtletí 2009;4197.0
Česko;Zahájené byty v nových rodinných domech;3. čtvrtletí 2009;5291.0
Česko;Zahájené byty v nových rodinných domech;2. čtvrtletí 2009;5055.0
Česko;Zahájené byty v nových rodinných domech;1. čtvrtletí 2009;4207.0
Česko;Zahájené byty v nových rodinných domech;4. čtvrtletí 2008;5405.0
Česko;Zahájené byty v nových rodinných domech;3. čtvrtletí 2008;6531.0
Česko;Zahájené byty v nových rodinných domech;2. čtvrtletí 2008;6321.0
Česko;Zahájené byty v nových rodinných domech;1. čtvrtletí 2008;4661.0
Česko;Zahájené byty v nových rodinných domech;4. čtvrtletí 2007;5070.0
Česko;Zahájené byty v nových rodinných domech;3. čtvrtletí 2007;5968.0
Česko;Zahájené byty v nových rodinných domech;2. čtvrtletí 2007;5449.0
Česko;Zahájené byty v nových rodinných domech;1. čtvrtletí 2007;4503.0
