Území,Roky,Ukazatel,value
Česko,2014,"Stavební práce ""S"" v tuzemsku - bytové budovy (mil. Kč, b.c.)",46344.0
Česko,2014,"Stavební práce ""S"" v tuzemsku - nebytové budovy nevýrobní (mil. Kč, b.c.)",59811.0
Česko,2014,"Stavební práce ""S"" v tuzemsku - nebytové budovy výrobní (mil. Kč, b.c.)",60615.0
Česko,2014,"Stavební práce ""S"" v tuzemsku - inženýrské stavby (mil. Kč, b.c.)",130563.0
Česko,2014,"Stavební práce ""S"" v tuzemsku - vodohospodářské stavby (mil. Kč, b.c.)",5242.0
Česko,2014,"Stavební práce ""S"" v tuzemsku - opravy a údržba (mil. Kč, b.c.)",114438.0
Česko,2014,"Stavební práce ""S"" v zahraničí (mil. Kč, b.c.)",11263.0
Česko,2013,"Stavební práce ""S"" celkem (mil. Kč, b.c.)",397472.0
Česko,2013,"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)",387588.0
Česko,2013,"Stavební práce ""S"" v tuzemsku - nová výstavba, rekonstrukce a modernizace (mil. Kč, b.c.)",283750.0
Česko,2013,"Stavební práce ""S"" v tuzemsku - bytové budovy (mil. Kč, b.c.)",43690.0
Česko,2013,"Stavební práce ""S"" v tuzemsku - nebytové budovy nevýrobní (mil. Kč, b.c.)",55079.0
Česko,2013,"Stavební práce ""S"" v tuzemsku - nebytové budovy výrobní (mil. Kč, b.c.)",58630.0
Česko,2013,"Stavební práce ""S"" v tuzemsku - inženýrské stavby (mil. Kč, b.c.)",119423.0
Česko,2013,"Stavební práce ""S"" v tuzemsku - vodohospodářské stavby (mil. Kč, b.c.)",6928.0
Česko,2013,"Stavební práce ""S"" v tuzemsku - opravy a údržba (mil. Kč, b.c.)",103838.0
Česko,2013,"Stavební práce ""S"" v zahraničí (mil. Kč, b.c.)",9884.0
Česko,2012,"Stavební práce ""S"" celkem (mil. Kč, b.c.)",423989.0
Česko,2012,"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)",413933.0
Česko,2012,"Stavební práce ""S"" v tuzemsku - nová výstavba, rekonstrukce a modernizace (mil. Kč, b.c.)",304788.0
Česko,2012,"Stavební práce ""S"" v tuzemsku - bytové budovy (mil. Kč, b.c.)",50454.0
Česko,2012,"Stavební práce ""S"" v tuzemsku - nebytové budovy nevýrobní (mil. Kč, b.c.)",61037.0
Česko,2012,"Stavební práce ""S"" v tuzemsku - nebytové budovy výrobní (mil. Kč, b.c.)",60698.0
Česko,2012,"Stavební práce ""S"" v tuzemsku - inženýrské stavby (mil. Kč, b.c.)",124262.0
Česko,2012,"Stavební práce ""S"" v tuzemsku - vodohospodářské stavby (mil. Kč, b.c.)",8337.0
Česko,2012,"Stavební práce ""S"" v tuzemsku - opravy a údržba (mil. Kč, b.c.)",109145.0
Česko,2012,"Stavební práce ""S"" v zahraničí (mil. Kč, b.c.)",10056.0
Česko,2011,"Stavební práce ""S"" celkem (mil. Kč, b.c.)",464021.0
Česko,2011,"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)",451853.0
Česko,2011,"Stavební práce ""S"" v tuzemsku - nová výstavba, rekonstrukce a modernizace (mil. Kč, b.c.)",332217.0
Česko,2011,"Stavební práce ""S"" v tuzemsku - bytové budovy (mil. Kč, b.c.)",61111.0
Česko,2011,"Stavební práce ""S"" v tuzemsku - nebytové budovy nevýrobní (mil. Kč, b.c.)",62364.0
Česko,2011,"Stavební práce ""S"" v tuzemsku - nebytové budovy výrobní (mil. Kč, b.c.)",62356.0
Česko,2011,"Stavební práce ""S"" v tuzemsku - inženýrské stavby (mil. Kč, b.c.)",140265.0
Česko,2011,"Stavební práce ""S"" v tuzemsku - vodohospodářské stavby (mil. Kč, b.c.)",6121.0
Česko,2011,"Stavební práce ""S"" v tuzemsku - opravy a údržba (mil. Kč, b.c.)",119636.0
Česko,2011,"Stavební práce ""S"" v zahraničí (mil. Kč, b.c.)",12168.0
Česko,2010,"Stavební práce ""S"" celkem (mil. Kč, b.c.)",488690.0
Česko,2010,"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)",477793.0
Česko,2010,"Stavební práce ""S"" v tuzemsku - nová výstavba, rekonstrukce a modernizace (mil. Kč, b.c.)",356289.0
Česko,2010,"Stavební práce ""S"" v tuzemsku - bytové budovy (mil. Kč, b.c.)",56711.0
Česko,2010,"Stavební práce ""S"" v tuzemsku - nebytové budovy nevýrobní (mil. Kč, b.c.)",62929.0
Česko,2010,"Stavební práce ""S"" v tuzemsku - nebytové budovy výrobní (mil. Kč, b.c.)",54337.0
Česko,2010,"Stavební práce ""S"" v tuzemsku - inženýrské stavby (mil. Kč, b.c.)",175911.0
Česko,2010,"Stavební práce ""S"" v tuzemsku - vodohospodářské stavby (mil. Kč, b.c.)",6401.0
Česko,2010,"Stavební práce ""S"" v tuzemsku - opravy a údržba (mil. Kč, b.c.)",121504.0
Česko,2010,"Stavební práce ""S"" v zahraničí (mil. Kč, b.c.)",10897.0
Česko,2009,"Stavební práce ""S"" celkem (mil. Kč, b.c.)",520877.434
Česko,2009,"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)",507709.218
Česko,2009,"Stavební práce ""S"" v tuzemsku - nová výstavba, rekonstrukce a modernizace (mil. Kč, b.c.)",375917.434991962
Česko,2009,"Stavební práce ""S"" v tuzemsku - bytové budovy (mil. Kč, b.c.)",65687.6894954152
Česko,2009,"Stavební práce ""S"" v tuzemsku - nebytové budovy nevýrobní (mil. Kč, b.c.)",66210.0689865411
Česko,2009,"Stavební práce ""S"" v tuzemsku - nebytové budovy výrobní (mil. Kč, b.c.)",63625.1824685391
Česko,2009,"Stavební práce ""S"" v tuzemsku - inženýrské stavby (mil. Kč, b.c.)",173311.311398445
Česko,2009,"Stavební práce ""S"" v tuzemsku - vodohospodářské stavby (mil. Kč, b.c.)",7083.1826430223
Česko,2009,"Stavební práce ""S"" v tuzemsku - opravy a údržba (mil. Kč, b.c.)",131791.783008038
Česko,2009,"Stavební práce ""S"" v zahraničí (mil. Kč, b.c.)",13168.216
Česko,2008,"Stavební práce ""S"" celkem (mil. Kč, b.c.)",547601.384
Česko,2008,"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)",536012.628
Česko,2008,"Stavební práce ""S"" v tuzemsku - nová výstavba, rekonstrukce a modernizace (mil. Kč, b.c.)",398151.663084533
Česko,2008,"Stavební práce ""S"" v tuzemsku - bytové budovy (mil. Kč, b.c.)",80150.0269031812
Česko,2008,"Stavební práce ""S"" v tuzemsku - nebytové budovy nevýrobní (mil. Kč, b.c.)",65036.9167503548
Česko,2008,"Stavební práce ""S"" v tuzemsku - nebytové budovy výrobní (mil. Kč, b.c.)",88138.0233901065
Česko,2008,"Stavební práce ""S"" v tuzemsku - inženýrské stavby (mil. Kč, b.c.)",160394.697255336
Česko,2008,"Stavební práce ""S"" v tuzemsku - vodohospodářské stavby (mil. Kč, b.c.)",4431.9987855546
Česko,2008,"Stavební práce ""S"" v tuzemsku - opravy a údržba (mil. Kč, b.c.)",137860.964915467
Česko,2008,"Stavební práce ""S"" v zahraničí (mil. Kč, b.c.)",11588.756
Česko,2007,"Stavební práce ""S"" celkem (mil. Kč, b.c.)",521487.049983972
Česko,2007,"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)",507445.239828019
Česko,2007,"Stavební práce ""S"" v tuzemsku - nová výstavba, rekonstrukce a modernizace (mil. Kč, b.c.)",378586.959740724
Česko,2007,"Stavební práce ""S"" v tuzemsku - bytové budovy (mil. Kč, b.c.)",80630.9539204431
Česko,2007,"Stavební práce ""S"" v tuzemsku - nebytové budovy nevýrobní (mil. Kč, b.c.)",63567.281719881
Česko,2007,"Stavební práce ""S"" v tuzemsku - nebytové budovy výrobní (mil. Kč, b.c.)",91471.2844296758
Česko,2007,"Stavební práce ""S"" v tuzemsku - inženýrské stavby (mil. Kč, b.c.)",138348.416917021
Česko,2007,"Stavební práce ""S"" v tuzemsku - vodohospodářské stavby (mil. Kč, b.c.)",4569.0227537031
Česko,2007,"Stavební práce ""S"" v tuzemsku - opravy a údržba (mil. Kč, b.c.)",128858.280087295
Česko,2007,"Stavební práce ""S"" v zahraničí (mil. Kč, b.c.)",14041.810155953
Česko,2006,"Stavební práce ""S"" celkem (mil. Kč, b.c.)",472577.993372744
Česko,2006,"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)",462979.677759928
Česko,2006,"Stavební práce ""S"" v tuzemsku - nová výstavba, rekonstrukce a modernizace (mil. Kč, b.c.)",343648.274466428
Česko,2006,"Stavební práce ""S"" v tuzemsku - bytové budovy (mil. Kč, b.c.)",68959.8920014462
Česko,2006,"Stavební práce ""S"" v tuzemsku - nebytové budovy nevýrobní (mil. Kč, b.c.)",64920.5370630596
Česko,2006,"Stavební práce ""S"" v tuzemsku - nebytové budovy výrobní (mil. Kč, b.c.)",72727.7794275512
Česko,2006,"Stavební práce ""S"" v tuzemsku - inženýrské stavby (mil. Kč, b.c.)",132364.905546693
Česko,2006,"Stavební práce ""S"" v tuzemsku - vodohospodářské stavby (mil. Kč, b.c.)",4675.1604276779
Česko,2006,"Stavební práce ""S"" v tuzemsku - opravy a údržba (mil. Kč, b.c.)",119331.4032935
Česko,2006,"Stavební práce ""S"" v zahraničí (mil. Kč, b.c.)",9598.3156128162
Česko,2005,"Stavební práce ""S"" celkem (mil. Kč, b.c.)",431426.171952692
Česko,2005,"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)",425463.071673513
