Území;Očištění;Typ indexu;Ukazatel;Měsíce;value
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);leden 2020;99.3373161844
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);prosinec 2019;97.0287473486
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);listopad 2019;97.7470467874
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);říjen 2019;99.7752363727
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);září 2019;98.3084365578
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);srpen 2019;98.2591923294
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červenec 2019;98.8366891833
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červen 2019;96.5056526999
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);květen 2019;102.5815919153
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);duben 2019;103.3740578088
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);březen 2019;100.6434059043
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);únor 2019;101.3751657442
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);leden 2019;99.3923379532
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);prosinec 2018;100.7675251931
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);listopad 2018;101.1200878289
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);říjen 2018;102.8280245148
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);září 2018;102.554768571
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);srpen 2018;102.1308539002
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červenec 2018;106.9781918652
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červen 2018;106.504782678
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);květen 2018;101.0903725841
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);duben 2018;99.6647663229
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);březen 2018;104.5712233762
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);únor 2018;102.8541237475
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);leden 2018;105.6034944747
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);prosinec 2017;109.2795994761
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);listopad 2017;107.8593504336
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);říjen 2017;104.9238128842
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);září 2017;108.1928442667
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);srpen 2017;106.3083690487
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červenec 2017;104.6450070811
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červen 2017;104.2165579133
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);květen 2017;112.3778391554
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);duben 2017;107.8925799963
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);březen 2017;104.4214791704
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);únor 2017;103.8668677961
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);leden 2017;105.1409792638
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);prosinec 2016;103.5778578562
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);listopad 2016;104.4868302644
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);říjen 2016;102.0233217636
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);září 2016;102.5328968137
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);srpen 2016;106.0666509218
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červenec 2016;95.4016003039
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červen 2016;103.6834967793
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);květen 2016;99.5538323517
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);duben 2016;101.7160153125
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);březen 2016;102.8935244236
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);únor 2016;104.6229102235
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);leden 2016;103.9769392886
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);prosinec 2015;98.7948773334
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);listopad 2015;102.1777657693
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);říjen 2015;105.9158020218
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);září 2015;103.2218527755
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);srpen 2015;106.7580869407
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červenec 2015;107.3415093244
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červen 2015;105.3883194624
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);květen 2015;105.5469242538
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);duben 2015;104.9673722028
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);březen 2015;104.0784044848
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);únor 2015;105.1005098184
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);leden 2015;105.4860252579
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);prosinec 2014;104.8866958791
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);listopad 2014;105.163081191
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);říjen 2014;102.9806125468
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);září 2014;105.9696283092
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);srpen 2014;97.2539517074
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červenec 2014;105.2963273819
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červen 2014;105.7128050889
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);květen 2014;105.526764292
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);duben 2014;106.9810738405
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);březen 2014;108.8842725705
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);únor 2014;106.5997720496
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);leden 2014;105.8735166187
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);prosinec 2013;106.4051444436
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);listopad 2013;106.7846825717
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);říjen 2013;105.6778513858
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);září 2013;101.7621627195
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);srpen 2013;104.4922673544
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červenec 2013;97.3485052048
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červen 2013;97.9774079763
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);květen 2013;97.871164226
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);duben 2013;97.1837370718
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);březen 2013;96.2448043896
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);únor 2013;95.2985426029
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);leden 2013;95.3934278351
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);prosinec 2012;95.2285490301
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);listopad 2012;92.6879123343
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);říjen 2012;96.1530247525
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);září 2012;98.8817120778
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);srpen 2012;98.3964123006
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červenec 2012;102.1801444032
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červen 2012;99.9041656086
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);květen 2012;99.7294464905
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);duben 2012;101.6249266022
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);březen 2012;101.8453642913
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);únor 2012;103.073751404
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);leden 2012;100.4181745202
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);prosinec 2011;104.2373381386
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);listopad 2011;104.1307150442
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);říjen 2011;100.8670240262
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);září 2011;100.1195352321
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);srpen 2011;102.4113709101
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červenec 2011;103.8770458014
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červen 2011;106.8696541366
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);květen 2011;110.4574964897
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);duben 2011;105.941627918
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);březen 2011;107.3081988594
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);únor 2011;111.4617136142
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);leden 2011;112.1847740792
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);prosinec 2010;107.3996419553
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);listopad 2010;111.2977448657
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);říjen 2010;110.3592791716
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);září 2010;111.7412512595
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);srpen 2010;110.0226073382
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červenec 2010;110.9697113183
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červen 2010;107.6694518468
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);květen 2010;108.0491864799
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);duben 2010;109.2581676475
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);březen 2010;105.5248754157
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);únor 2010;103.8276790169
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);leden 2010;104.9706085548
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);prosinec 2009;99.2727363058
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);listopad 2009;96.2033632826
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);říjen 2009;94.1986690457
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);září 2009;90.2610263369
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);srpen 2009;90.457508672
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červenec 2009;85.85495798
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červen 2009;84.962207332
