Ukazatel;Kraje;Roky;value
Celkový přírůstek/úbytek na 1000 obyvatel;Ústecký kraj;2021;-3.36212234
Celkový přírůstek/úbytek na 1000 obyvatel;Ústecký kraj;2020;-4.833576578
Celkový přírůstek/úbytek na 1000 obyvatel;Ústecký kraj;2019;0.214493679
Celkový přírůstek/úbytek na 1000 obyvatel;Ústecký kraj;2018;-0.354627215
Celkový přírůstek/úbytek na 1000 obyvatel;Ústecký kraj;2017;-0.36178172
Celkový přírůstek/úbytek na 1000 obyvatel;Ústecký kraj;2016;-1.791317038
Celkový přírůstek/úbytek na 1000 obyvatel;Ústecký kraj;2015;-1.391822255
Celkový přírůstek/úbytek na 1000 obyvatel;Ústecký kraj;2014;-1.391871133
Celkový přírůstek/úbytek na 1000 obyvatel;Liberecký kraj;2024;-2.7460239398
Celkový přírůstek/úbytek na 1000 obyvatel;Liberecký kraj;2023;3.443223443
Celkový přírůstek/úbytek na 1000 obyvatel;Liberecký kraj;2022;25.97515945
Celkový přírůstek/úbytek na 1000 obyvatel;Liberecký kraj;2021;0.1098069
Celkový přírůstek/úbytek na 1000 obyvatel;Liberecký kraj;2020;-2.739410733
Celkový přírůstek/úbytek na 1000 obyvatel;Liberecký kraj;2019;3.011646992
Celkový přírůstek/úbytek na 1000 obyvatel;Liberecký kraj;2018;2.391261028
Celkový přírůstek/úbytek na 1000 obyvatel;Liberecký kraj;2017;1.505894306
Celkový přírůstek/úbytek na 1000 obyvatel;Liberecký kraj;2016;2.264987653
Celkový přírůstek/úbytek na 1000 obyvatel;Liberecký kraj;2015;1.794367326
Celkový přírůstek/úbytek na 1000 obyvatel;Liberecký kraj;2014;0.551487764
Celkový přírůstek/úbytek na 1000 obyvatel;Královéhradecký kraj;2024;-1.8470944269
Celkový přírůstek/úbytek na 1000 obyvatel;Královéhradecký kraj;2023;3.021739638
Celkový přírůstek/úbytek na 1000 obyvatel;Královéhradecký kraj;2022;22.94816219
Celkový přírůstek/úbytek na 1000 obyvatel;Královéhradecký kraj;2021;-2.987702895
Celkový přírůstek/úbytek na 1000 obyvatel;Královéhradecký kraj;2020;-1.530080402
Celkový přírůstek/úbytek na 1000 obyvatel;Královéhradecký kraj;2019;1.135687436
Celkový přírůstek/úbytek na 1000 obyvatel;Královéhradecký kraj;2018;-0.123481899
Celkový přírůstek/úbytek na 1000 obyvatel;Královéhradecký kraj;2017;0.517384106
Celkový přírůstek/úbytek na 1000 obyvatel;Královéhradecký kraj;2016;-1.119422617
Celkový přírůstek/úbytek na 1000 obyvatel;Královéhradecký kraj;2015;-0.306564841
Celkový přírůstek/úbytek na 1000 obyvatel;Královéhradecký kraj;2014;-0.578181357
Celkový přírůstek/úbytek na 1000 obyvatel;Pardubický kraj;2024;-0.1718592718
Celkový přírůstek/úbytek na 1000 obyvatel;Pardubický kraj;2023;3.392816056
Celkový přírůstek/úbytek na 1000 obyvatel;Pardubický kraj;2022;27.08500123
Celkový přírůstek/úbytek na 1000 obyvatel;Pardubický kraj;2021;0.204322292
Celkový přírůstek/úbytek na 1000 obyvatel;Pardubický kraj;2020;0.370688832
Celkový přírůstek/úbytek na 1000 obyvatel;Pardubický kraj;2019;4.501617589
Celkový přírůstek/úbytek na 1000 obyvatel;Pardubický kraj;2018;3.812183963
Celkový přírůstek/úbytek na 1000 obyvatel;Pardubický kraj;2017;2.416659094
Celkový přírůstek/úbytek na 1000 obyvatel;Pardubický kraj;2016;1.815883365
Celkový přírůstek/úbytek na 1000 obyvatel;Pardubický kraj;2015;-0.431963769
Celkový přírůstek/úbytek na 1000 obyvatel;Pardubický kraj;2014;0.749841603
Celkový přírůstek/úbytek na 1000 obyvatel;Kraj Vysočina;2024;-0.6054474798
Celkový přírůstek/úbytek na 1000 obyvatel;Kraj Vysočina;2023;6.156446862
Celkový přírůstek/úbytek na 1000 obyvatel;Kraj Vysočina;2022;20.97128736
Celkový přírůstek/úbytek na 1000 obyvatel;Kraj Vysočina;2021;0.041688338
Celkový přírůstek/úbytek na 1000 obyvatel;Kraj Vysočina;2020;-1.884849614
Celkový přírůstek/úbytek na 1000 obyvatel;Kraj Vysočina;2019;1.058169896
Celkový přírůstek/úbytek na 1000 obyvatel;Kraj Vysočina;2018;0.703313629
Celkový přírůstek/úbytek na 1000 obyvatel;Kraj Vysočina;2017;-0.070773634
Celkový přírůstek/úbytek na 1000 obyvatel;Kraj Vysočina;2016;-1.027127558
Celkový přírůstek/úbytek na 1000 obyvatel;Kraj Vysočina;2015;-0.82432626
Celkový přírůstek/úbytek na 1000 obyvatel;Kraj Vysočina;2014;-0.615679031
Celkový přírůstek/úbytek na 1000 obyvatel;Jihomoravský kraj;2024;2.1160171239
Celkový přírůstek/úbytek na 1000 obyvatel;Jihomoravský kraj;2023;7.807057992
Celkový přírůstek/úbytek na 1000 obyvatel;Jihomoravský kraj;2022;26.98239843
Celkový přírůstek/úbytek na 1000 obyvatel;Jihomoravský kraj;2021;2.834701071
Celkový přírůstek/úbytek na 1000 obyvatel;Jihomoravský kraj;2020;2.795682354
Celkový přírůstek/úbytek na 1000 obyvatel;Jihomoravský kraj;2019;3.633367801
Celkový přírůstek/úbytek na 1000 obyvatel;Jihomoravský kraj;2018;3.764574008
Celkový přírůstek/úbytek na 1000 obyvatel;Jihomoravský kraj;2017;3.723071267
Celkový přírůstek/úbytek na 1000 obyvatel;Jihomoravský kraj;2016;3.219277944
Celkový přírůstek/úbytek na 1000 obyvatel;Jihomoravský kraj;2015;1.850774096
Celkový přírůstek/úbytek na 1000 obyvatel;Jihomoravský kraj;2014;2.370421243
Celkový přírůstek/úbytek na 1000 obyvatel;Olomoucký kraj;2024;-2.1600974261
Celkový přírůstek/úbytek na 1000 obyvatel;Olomoucký kraj;2023;1.678281894
Celkový přírůstek/úbytek na 1000 obyvatel;Olomoucký kraj;2022;14.08649732
Celkový přírůstek/úbytek na 1000 obyvatel;Olomoucký kraj;2021;-3.208345225
Celkový přírůstek/úbytek na 1000 obyvatel;Olomoucký kraj;2020;-2.36321302
Celkový přírůstek/úbytek na 1000 obyvatel;Olomoucký kraj;2019;-0.754578488
Celkový přírůstek/úbytek na 1000 obyvatel;Olomoucký kraj;2018;-1.084504393
Celkový přírůstek/úbytek na 1000 obyvatel;Olomoucký kraj;2017;-1.179846888
Celkový přírůstek/úbytek na 1000 obyvatel;Olomoucký kraj;2016;-1.253783034
Celkový přírůstek/úbytek na 1000 obyvatel;Olomoucký kraj;2015;-1.563548073
Celkový přírůstek/úbytek na 1000 obyvatel;Olomoucký kraj;2014;-1.013977164
Celkový přírůstek/úbytek na 1000 obyvatel;Zlínský kraj;2024;-3.0146693187
Celkový přírůstek/úbytek na 1000 obyvatel;Zlínský kraj;2023;0.366630749
Celkový přírůstek/úbytek na 1000 obyvatel;Zlínský kraj;2022;13.98151105
Celkový přírůstek/úbytek na 1000 obyvatel;Zlínský kraj;2021;-2.244273264
Celkový přírůstek/úbytek na 1000 obyvatel;Zlínský kraj;2020;-4.19007386
Celkový přírůstek/úbytek na 1000 obyvatel;Zlínský kraj;2019;-0.628099741
Celkový přírůstek/úbytek na 1000 obyvatel;Zlínský kraj;2018;-0.231616512
Celkový přírůstek/úbytek na 1000 obyvatel;Zlínský kraj;2017;-1.101127026
Celkový přírůstek/úbytek na 1000 obyvatel;Zlínský kraj;2016;-1.67421318
Celkový přírůstek/úbytek na 1000 obyvatel;Zlínský kraj;2015;-1.000294104
Celkový přírůstek/úbytek na 1000 obyvatel;Zlínský kraj;2014;-1.771848099
Celkový přírůstek/úbytek na 1000 obyvatel;Moravskoslezský kraj;2024;-5.5636122371
Celkový přírůstek/úbytek na 1000 obyvatel;Moravskoslezský kraj;2023;-0.394910528
Celkový přírůstek/úbytek na 1000 obyvatel;Moravskoslezský kraj;2022;9.837713508
Celkový přírůstek/úbytek na 1000 obyvatel;Moravskoslezský kraj;2021;-4.618786965
Celkový přírůstek/úbytek na 1000 obyvatel;Moravskoslezský kraj;2020;-6.436554618
Celkový přírůstek/úbytek na 1000 obyvatel;Moravskoslezský kraj;2019;-2.297250956
Celkový přírůstek/úbytek na 1000 obyvatel;Moravskoslezský kraj;2018;-2.148053798
Celkový přírůstek/úbytek na 1000 obyvatel;Moravskoslezský kraj;2017;-3.307054138
Celkový přírůstek/úbytek na 1000 obyvatel;Moravskoslezský kraj;2016;-2.832999157
Celkový přírůstek/úbytek na 1000 obyvatel;Moravskoslezský kraj;2015;-3.591974714
Celkový přírůstek/úbytek na 1000 obyvatel;Moravskoslezský kraj;2014;-3.407333802
