Ukazatel,Území,Pořadí narození,Rodinný stav matky,Věk matky (jednoleté skupiny),Roky,value
Živě narození,Česko,Celkem,Celkem,20,2020,1290.0
Živě narození,Česko,Celkem,Celkem,20,2019,1493.0
Živě narození,Česko,Celkem,Celkem,20,2018,1460.0
Živě narození,Česko,Celkem,Celkem,20,2017,1557.0
Živě narození,Česko,Celkem,Celkem,20,2016,1631.0
Živě narození,Česko,Celkem,Celkem,20,2015,1577.0
Živě narození,Česko,Celkem,Celkem,20,2014,1813.0
Živě narození,Česko,Celkem,Celkem,20,2013,1750.0
Živě narození,Česko,Celkem,Celkem,20,2012,1781.0
Živě narození,Česko,Celkem,Celkem,20,2011,1946.0
Živě narození,Česko,Celkem,Celkem,20,2010,2115.0
Živě narození,Česko,Celkem,Celkem,20,2009,2195.0
Živě narození,Česko,Celkem,Celkem,20,2008,2269.0
Živě narození,Česko,Celkem,Celkem,20,2007,2136.0
Živě narození,Česko,Celkem,Celkem,20,2006,2169.0
Živě narození,Česko,Celkem,Celkem,20,2005,2223.0
Živě narození,Česko,Celkem,Celkem,20,2004,2299.0
Živě narození,Česko,Celkem,Celkem,20,2003,2396.0
Živě narození,Česko,Celkem,Celkem,20,2002,2548.0
Živě narození,Česko,Celkem,Celkem,20,2001,2865.0
Živě narození,Česko,Celkem,Celkem,21,2024,
Živě narození,Česko,Celkem,Celkem,21,2023,1426.0
Živě narození,Česko,Celkem,Celkem,21,2022,1526.0
Živě narození,Česko,Celkem,Celkem,21,2021,1688.0
Živě narození,Česko,Celkem,Celkem,21,2020,1821.0
Živě narození,Česko,Celkem,Celkem,21,2019,1817.0
Živě narození,Česko,Celkem,Celkem,21,2018,1913.0
Živě narození,Česko,Celkem,Celkem,21,2017,1959.0
Živě narození,Česko,Celkem,Celkem,21,2016,2039.0
Živě narození,Česko,Celkem,Celkem,21,2015,2314.0
Živě narození,Česko,Celkem,Celkem,21,2014,2180.0
Živě narození,Česko,Celkem,Celkem,21,2013,2212.0
Živě narození,Česko,Celkem,Celkem,21,2012,2337.0
Živě narození,Česko,Celkem,Celkem,21,2011,2256.0
Živě narození,Česko,Celkem,Celkem,21,2010,2637.0
Živě narození,Česko,Celkem,Celkem,21,2009,2799.0
Živě narození,Česko,Celkem,Celkem,21,2008,2610.0
Živě narození,Česko,Celkem,Celkem,21,2007,2561.0
Živě narození,Česko,Celkem,Celkem,21,2006,2639.0
Živě narození,Česko,Celkem,Celkem,21,2005,2655.0
Živě narození,Česko,Celkem,Celkem,21,2004,2807.0
Živě narození,Česko,Celkem,Celkem,21,2003,2941.0
Živě narození,Česko,Celkem,Celkem,21,2002,3270.0
Živě narození,Česko,Celkem,Celkem,21,2001,3882.0
Živě narození,Česko,Celkem,Celkem,22,2024,
Živě narození,Česko,Celkem,Celkem,22,2023,1843.0
Živě narození,Česko,Celkem,Celkem,22,2022,2036.0
Živě narození,Česko,Celkem,Celkem,22,2021,2077.0
Živě narození,Česko,Celkem,Celkem,22,2020,2258.0
Živě narození,Česko,Celkem,Celkem,22,2019,2270.0
Živě narození,Česko,Celkem,Celkem,22,2018,2400.0
Živě narození,Česko,Celkem,Celkem,22,2017,2504.0
Živě narození,Česko,Celkem,Celkem,22,2016,2752.0
Živě narození,Česko,Celkem,Celkem,22,2015,2500.0
Živě narození,Česko,Celkem,Celkem,22,2014,2555.0
Živě narození,Česko,Celkem,Celkem,22,2013,2679.0
Živě narození,Česko,Celkem,Celkem,22,2012,2684.0
Živě narození,Česko,Celkem,Celkem,22,2011,2711.0
Živě narození,Česko,Celkem,Celkem,22,2010,3014.0
Živě narození,Česko,Celkem,Celkem,22,2009,3061.0
Živě narození,Česko,Celkem,Celkem,22,2008,3096.0
