Území,Právní forma,Ukazatel,Roky,value
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Běžné výdaje ,2017,362087561.147629
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Běžné výdaje ,2016,330097230.26066
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Běžné výdaje ,2015,314858788.816601
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Běžné výdaje ,2014,305650872.85
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Běžné výdaje ,2013,297675191.96
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Běžné výdaje ,2012,290571544.84
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Běžné výdaje ,2011,314293171.38
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Běžné výdaje ,2010,318617912.2
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Běžné výdaje ,2009,310736598.53
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Běžné výdaje ,2008,292961831.14
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Běžné výdaje ,2007,277811659.21
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kapitalové výdaje ,2024,178985885.23185
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kapitalové výdaje ,2023,170452307.41346
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kapitalové výdaje ,2022,158654688.65136
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kapitalové výdaje ,2021,134340931.60678
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kapitalové výdaje ,2020,139052549.53857
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kapitalové výdaje ,2019,126785977.11394
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kapitalové výdaje ,2018,126314715.46095
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kapitalové výdaje ,2017,86050021.08246
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kapitalové výdaje ,2016,66995479.61171
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kapitalové výdaje ,2015,112502770.83116
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kapitalové výdaje ,2014,108803672.28
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kapitalové výdaje ,2013,84414004.87
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kapitalové výdaje ,2012,90728917.72
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kapitalové výdaje ,2011,98598821.93
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kapitalové výdaje ,2010,111617588.64
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kapitalové výdaje ,2009,117117989.71
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kapitalové výdaje ,2008,96980653.79
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kapitalové výdaje ,2007,92151433.11
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Saldo příjmů a výdajů ,2024,52142435.49164
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Saldo příjmů a výdajů ,2023,72098343.72768
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Saldo příjmů a výdajů ,2022,32761884.05278
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Saldo příjmů a výdajů ,2021,41323671.97196
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Saldo příjmů a výdajů ,2020,13873696.93386
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Saldo příjmů a výdajů ,2019,31736496.73944
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Saldo příjmů a výdajů ,2018,8736590.64624
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Saldo příjmů a výdajů ,2017,31147953.90022
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Saldo příjmů a výdajů ,2016,53247730.84127
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Saldo příjmů a výdajů ,2015,21084536.63855
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Saldo příjmů a výdajů ,2014,11151633.25
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Saldo příjmů a výdajů ,2013,17842221.6
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Saldo příjmů a výdajů ,2012,1932508.35
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Saldo příjmů a výdajů ,2011,-2393063.16
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Saldo příjmů a výdajů ,2010,-1500998.28
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Saldo příjmů a výdajů ,2009,-26123202.64
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Saldo příjmů a výdajů ,2008,14666419.63
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Saldo příjmů a výdajů ,2007,9426133.56
