Ukazatel;Území;Druh dopravy;Roky;value
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Městská hromadná doprava;2002;
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Městská hromadná doprava;2003;
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Městská hromadná doprava;2004;
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Městská hromadná doprava;2005;
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Městská hromadná doprava;2006;
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Městská hromadná doprava;2007;
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Městská hromadná doprava;2008;
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Městská hromadná doprava;2009;
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Městská hromadná doprava;2010;
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Městská hromadná doprava;2011;
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Městská hromadná doprava;2012;
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Městská hromadná doprava;2013;
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Městská hromadná doprava;2014;
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Městská hromadná doprava;2015;
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Městská hromadná doprava;2016;2168751.0
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Městská hromadná doprava;2017;2135245.0
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Městská hromadná doprava;2018;2184135.0
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Městská hromadná doprava;2019;2231164.0
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Městská hromadná doprava;2020;1559066.0
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Městská hromadná doprava;2021;1471267.0
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Městská hromadná doprava;2022;1838178.7
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Městská hromadná doprava;2023;1964258.0
