Roky,"Česko, kraje, okresy",Ukazatel,value
2024,Zlínský kraj,Počet požárů,641.0
2024,Zlínský kraj,Počet požárů na 1000 obyvatel,1.10676004
2024,Zlínský kraj,Přímé škody způsobené při požárech (tis. Kč),167216.1
2024,Zlínský kraj,Uchráněné hodnoty při požárech (tis. Kč),555195.0
2024,Zlínský kraj,Počet osob usmrcených při požárech,8.0
2024,Zlínský kraj,Počet osob zraněných při požárech,76.0
2024,Moravskoslezský kraj,Počet požárů,1982.0
2024,Moravskoslezský kraj,Počet požárů na 1000 obyvatel,1.67305105
2024,Moravskoslezský kraj,Přímé škody způsobené při požárech (tis. Kč),527668.5
2024,Moravskoslezský kraj,Uchráněné hodnoty při požárech (tis. Kč),1503315.5
2024,Moravskoslezský kraj,Počet osob usmrcených při požárech,16.0
2024,Moravskoslezský kraj,Počet osob zraněných při požárech,164.0
