Ukazatel,Rok sčítání,Pohlaví,Území,Způsob bydlení,value
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,Osoby bez domova,129
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,Bydlící osoby celkem,538149
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,Osoby bydlící v bytech,518778
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,Osoby bydlící v zařízeních,9356
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,Osoby bydlící mimo byty a zařízení,10015
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,Osoby bez domova,154
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,Bydlící osoby celkem,509888
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,Osoby bydlící v bytech,491076
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,Osoby bydlící v zařízeních,10005
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,Osoby bydlící mimo byty a zařízení,8807
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,Osoby bez domova,149
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,Bydlící osoby celkem,497583
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,Osoby bydlící v bytech,478472
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,Osoby bydlící v zařízeních,9102
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,Osoby bydlící mimo byty a zařízení,10009
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,Osoby bez domova,78
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,Bydlící osoby celkem,1197217
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,Osoby bydlící v bytech,1151283
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,Osoby bydlící v zařízeních,20108
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,Osoby bydlící mimo byty a zařízení,25826
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,Osoby bez domova,434
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,Bydlící osoby celkem,619476
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,Osoby bydlící v bytech,595703
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,Osoby bydlící v zařízeních,10131
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,Osoby bydlící mimo byty a zařízení,13642
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,Osoby bez domova,312
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,Bydlící osoby celkem,564117
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,Osoby bydlící v bytech,544801
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,Osoby bydlící v zařízeních,9239
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,Osoby bydlící mimo byty a zařízení,10077
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,Osoby bez domova,214
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,Bydlící osoby celkem,1162104
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,Osoby bydlící v bytech,1120131
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,Osoby bydlící v zařízeních,19534
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,Osoby bydlící mimo byty a zařízení,22439
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,Osoby bez domova,737
