Území,Čtvrtletí,Velikostní skupiny podniků,Ukazatel,value
Česko,2. čtvrtletí 2025,100 až 249 zaměstnanců,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.8605975588
Česko,2. čtvrtletí 2025,100 až 249 zaměstnanců,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),576.9721456473
Česko,2. čtvrtletí 2025,100 až 249 zaměstnanců,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),0.4305727722
Česko,2. čtvrtletí 2025,100 až 249 zaměstnanců,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),100.0746819991
Česko,2. čtvrtletí 2025,100 až 249 zaměstnanců,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),47021.8195044414
Česko,2. čtvrtletí 2025,100 až 249 zaměstnanců,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),3441.8366966578
Česko,2. čtvrtletí 2025,100 až 249 zaměstnanců,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),107.8977467977
Česko,2. čtvrtletí 2025,250 až 499 zaměstnanců,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),389.2021739514
Česko,2. čtvrtletí 2025,250 až 499 zaměstnanců,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),6.7346249791
Česko,2. čtvrtletí 2025,250 až 499 zaměstnanců,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),101.7608356571
Česko,2. čtvrtletí 2025,250 až 499 zaměstnanců,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),51436.2206968443
Česko,2. čtvrtletí 2025,250 až 499 zaměstnanců,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2799.8118684813
Česko,2. čtvrtletí 2025,250 až 499 zaměstnanců,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),105.7566171844
Česko,2. čtvrtletí 2025,250 až 499 zaměstnanců,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),403.8655420895
Česko,2. čtvrtletí 2025,250 až 499 zaměstnanců,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),7.0670375081
Česko,2. čtvrtletí 2025,250 až 499 zaměstnanců,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),101.7810141486
Česko,2. čtvrtletí 2025,250 až 499 zaměstnanců,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),49568.697570679
Česko,2. čtvrtletí 2025,250 až 499 zaměstnanců,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2688.8634467562
Česko,2. čtvrtletí 2025,250 až 499 zaměstnanců,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),105.7356505137
Česko,2. čtvrtletí 2025,250 a více zaměstnanců,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),1714.4132937216
Česko,2. čtvrtletí 2025,250 a více zaměstnanců,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-28.6945819981
Česko,2. čtvrtletí 2025,250 a více zaměstnanců,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),98.3538263812
Česko,2. čtvrtletí 2025,250 a více zaměstnanců,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),57549.2971840543
Česko,2. čtvrtletí 2025,250 a více zaměstnanců,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3475.4201086156
Česko,2. čtvrtletí 2025,250 a více zaměstnanců,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),106.4271701912
Česko,2. čtvrtletí 2025,250 a více zaměstnanců,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),1791.476014121
Česko,2. čtvrtletí 2025,250 a více zaměstnanců,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),-26.544041466
Česko,2. čtvrtletí 2025,250 a více zaměstnanců,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),98.5399478194
Česko,2. čtvrtletí 2025,250 a více zaměstnanců,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),55073.7377218457
Česko,2. čtvrtletí 2025,250 a více zaměstnanců,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),3227.9944852782
Česko,2. čtvrtletí 2025,250 a více zaměstnanců,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.2261514326
Česko,2. čtvrtletí 2025,500 až 999 zaměstnanců,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),361.0045975777
Česko,2. čtvrtletí 2025,500 až 999 zaměstnanců,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-4.493879699
Česko,2. čtvrtletí 2025,500 až 999 zaměstnanců,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),98.7704792281
