Ukazatel,Kategorie ubytovacího zařízení,Rezidence,"ČR, kraje",Roky,value
Počet hostů,HUZ celkem,Celkem,Karlovarský kraj,2014,776671
Počet hostů,HUZ celkem,Celkem,Karlovarský kraj,2013,787084
Počet hostů,HUZ celkem,Celkem,Karlovarský kraj,2012,809043
Počet hostů,HUZ celkem,Celkem,Ústecký kraj,2024,632829
Počet hostů,HUZ celkem,Celkem,Ústecký kraj,2023,625475
Počet hostů,HUZ celkem,Celkem,Ústecký kraj,2022,580023
Počet hostů,HUZ celkem,Celkem,Ústecký kraj,2021,396878
Počet hostů,HUZ celkem,Celkem,Ústecký kraj,2020,383341
Počet hostů,HUZ celkem,Celkem,Ústecký kraj,2019,659902
Počet hostů,HUZ celkem,Celkem,Ústecký kraj,2018,632150
Počet hostů,HUZ celkem,Celkem,Ústecký kraj,2017,592462
Počet hostů,HUZ celkem,Celkem,Ústecký kraj,2016,527461
Počet hostů,HUZ celkem,Celkem,Ústecký kraj,2015,487259
Počet hostů,HUZ celkem,Celkem,Ústecký kraj,2014,431882
Počet hostů,HUZ celkem,Celkem,Ústecký kraj,2013,426592
Počet hostů,HUZ celkem,Celkem,Ústecký kraj,2012,416842
Počet hostů,HUZ celkem,Celkem,Liberecký kraj,2024,1173053
Počet hostů,HUZ celkem,Celkem,Liberecký kraj,2023,1154930
Počet hostů,HUZ celkem,Celkem,Liberecký kraj,2022,1113981
Počet hostů,HUZ celkem,Celkem,Liberecký kraj,2021,722461
Počet hostů,HUZ celkem,Celkem,Liberecký kraj,2020,774683
Počet hostů,HUZ celkem,Celkem,Liberecký kraj,2019,1048865
Počet hostů,HUZ celkem,Celkem,Liberecký kraj,2018,997213
Počet hostů,HUZ celkem,Celkem,Liberecký kraj,2017,935566
Počet hostů,HUZ celkem,Celkem,Liberecký kraj,2016,863520
Počet hostů,HUZ celkem,Celkem,Liberecký kraj,2015,820802
Počet hostů,HUZ celkem,Celkem,Liberecký kraj,2014,700144
Počet hostů,HUZ celkem,Celkem,Liberecký kraj,2013,752732
Počet hostů,HUZ celkem,Celkem,Liberecký kraj,2012,753932
Počet hostů,HUZ celkem,Celkem,Královéhradecký kraj,2024,1541616
Počet hostů,HUZ celkem,Celkem,Královéhradecký kraj,2023,1525471
Počet hostů,HUZ celkem,Celkem,Královéhradecký kraj,2022,1468600
Počet hostů,HUZ celkem,Celkem,Královéhradecký kraj,2021,939280
Počet hostů,HUZ celkem,Celkem,Královéhradecký kraj,2020,995036
Počet hostů,HUZ celkem,Celkem,Královéhradecký kraj,2019,1412307
Počet hostů,HUZ celkem,Celkem,Královéhradecký kraj,2018,1342757
Počet hostů,HUZ celkem,Celkem,Královéhradecký kraj,2017,1259417
Počet hostů,HUZ celkem,Celkem,Královéhradecký kraj,2016,1158127
Počet hostů,HUZ celkem,Celkem,Královéhradecký kraj,2015,1124032
Počet hostů,HUZ celkem,Celkem,Královéhradecký kraj,2014,936736
Počet hostů,HUZ celkem,Celkem,Královéhradecký kraj,2013,965416
Počet hostů,HUZ celkem,Celkem,Královéhradecký kraj,2012,968571
Počet hostů,HUZ celkem,Celkem,Pardubický kraj,2024,528133
Počet hostů,HUZ celkem,Celkem,Pardubický kraj,2023,534950
Počet hostů,HUZ celkem,Celkem,Pardubický kraj,2022,503879
Počet hostů,HUZ celkem,Celkem,Pardubický kraj,2021,351261
Počet hostů,HUZ celkem,Celkem,Pardubický kraj,2020,322270
Počet hostů,HUZ celkem,Celkem,Pardubický kraj,2019,480520
Počet hostů,HUZ celkem,Celkem,Pardubický kraj,2018,467712
Počet hostů,HUZ celkem,Celkem,Pardubický kraj,2017,468273
Počet hostů,HUZ celkem,Celkem,Pardubický kraj,2016,443717
Počet hostů,HUZ celkem,Celkem,Pardubický kraj,2015,413443
Počet hostů,HUZ celkem,Celkem,Pardubický kraj,2014,359665
Počet hostů,HUZ celkem,Celkem,Pardubický kraj,2013,369233
Počet hostů,HUZ celkem,Celkem,Pardubický kraj,2012,366443
Počet hostů,HUZ celkem,Celkem,Kraj Vysočina,2024,688447
Počet hostů,HUZ celkem,Celkem,Kraj Vysočina,2023,670124
Počet hostů,HUZ celkem,Celkem,Kraj Vysočina,2022,642986
Počet hostů,HUZ celkem,Celkem,Kraj Vysočina,2021,450699
Počet hostů,HUZ celkem,Celkem,Kraj Vysočina,2020,397509
Počet hostů,HUZ celkem,Celkem,Kraj Vysočina,2019,605326
Počet hostů,HUZ celkem,Celkem,Kraj Vysočina,2018,602487
Počet hostů,HUZ celkem,Celkem,Kraj Vysočina,2017,563648
Počet hostů,HUZ celkem,Celkem,Kraj Vysočina,2016,522415
Počet hostů,HUZ celkem,Celkem,Kraj Vysočina,2015,473712
Počet hostů,HUZ celkem,Celkem,Kraj Vysočina,2014,447603
Počet hostů,HUZ celkem,Celkem,Kraj Vysočina,2013,448401
Počet hostů,HUZ celkem,Celkem,Kraj Vysočina,2012,438715
Počet hostů,HUZ celkem,Celkem,Jihomoravský kraj,2024,2179291
Počet hostů,HUZ celkem,Celkem,Jihomoravský kraj,2023,2165969
Počet hostů,HUZ celkem,Celkem,Jihomoravský kraj,2022,1990371
