Území,Ukazatel,Pohlaví,Roky,value
Česko,Zemřelí na nemoci dýchací soustavy,ženy,2021,3378.0
Česko,Zemřelí na nemoci dýchací soustavy,ženy,2022,3835.0
Česko,Zemřelí na nemoci dýchací soustavy,ženy,2023,4030.0
Česko,Zemřelí na nemoci dýchací soustavy,muži,2016,3984.0
Česko,Zemřelí na nemoci dýchací soustavy,muži,2017,4392.0
Česko,Zemřelí na nemoci dýchací soustavy,muži,2018,4481.0
Česko,Zemřelí na nemoci dýchací soustavy,muži,2019,4461.0
Česko,Zemřelí na nemoci dýchací soustavy,muži,2020,4680.0
Česko,Zemřelí na nemoci dýchací soustavy,muži,2021,4357.0
Česko,Zemřelí na nemoci dýchací soustavy,muži,2022,4669.0
Česko,Zemřelí na nemoci dýchací soustavy,muži,2023,4589.0
Česko,Zemřelí z vnějších příčin nemocnosti a úmrtnosti ,ženy,2016,1844.0
Česko,Zemřelí z vnějších příčin nemocnosti a úmrtnosti ,ženy,2017,1799.0
Česko,Zemřelí z vnějších příčin nemocnosti a úmrtnosti ,ženy,2018,1955.0
Česko,Zemřelí z vnějších příčin nemocnosti a úmrtnosti ,ženy,2019,1876.0
Česko,Zemřelí z vnějších příčin nemocnosti a úmrtnosti ,ženy,2020,1838.0
Česko,Zemřelí z vnějších příčin nemocnosti a úmrtnosti ,ženy,2021,1708.0
Česko,Zemřelí z vnějších příčin nemocnosti a úmrtnosti ,ženy,2022,1725.0
Česko,Zemřelí z vnějších příčin nemocnosti a úmrtnosti ,ženy,2023,1633.0
Česko,Zemřelí z vnějších příčin nemocnosti a úmrtnosti ,muži,2016,3667.0
Česko,Zemřelí z vnějších příčin nemocnosti a úmrtnosti ,muži,2017,3809.0
Česko,Zemřelí z vnějších příčin nemocnosti a úmrtnosti ,muži,2018,3890.0
Česko,Zemřelí z vnějších příčin nemocnosti a úmrtnosti ,muži,2019,3809.0
Česko,Zemřelí z vnějších příčin nemocnosti a úmrtnosti ,muži,2020,3795.0
Česko,Zemřelí z vnějších příčin nemocnosti a úmrtnosti ,muži,2021,3592.0
Česko,Zemřelí z vnějších příčin nemocnosti a úmrtnosti ,muži,2022,3723.0
Česko,Zemřelí z vnějších příčin nemocnosti a úmrtnosti ,muži,2023,3701.0
Česko,Naděje dožití při narození (roky),ženy,2016,81.8260870838
Česko,Naděje dožití při narození (roky),ženy,2017,81.8451273946
Česko,Naděje dožití při narození (roky),ženy,2018,81.891750582
Česko,Naděje dožití při narození (roky),ženy,2019,82.1014818384
Česko,Naděje dožití při narození (roky),ženy,2020,81.3768895567
Česko,Naděje dožití při narození (roky),ženy,2021,80.5085140627
Česko,Naděje dožití při narození (roky),ženy,2022,82.0142787872
Česko,Naděje dožití při narození (roky),ženy,2023,82.78054922
Česko,Naděje dožití při narození (roky),muži,2016,76.044936268
Česko,Naděje dožití při narození (roky),muži,2017,76.0048893891
Česko,Naděje dožití při narození (roky),muži,2018,76.0839391341
Česko,Naděje dožití při narození (roky),muži,2019,76.3289995826
Česko,Naděje dožití při narození (roky),muži,2020,75.3035998674
Česko,Naděje dožití při narození (roky),muži,2021,74.0931411952
Česko,Naděje dožití při narození (roky),muži,2022,76.1483805299
Česko,Naděje dožití při narození (roky),muži,2023,76.89409283
Česko,Naděje dožití ve věku 65 let (roky),ženy,2016,19.7020852991
Česko,Naděje dožití ve věku 65 let (roky),ženy,2017,19.6189598603
Česko,Naděje dožití ve věku 65 let (roky),ženy,2018,19.7091415509
Česko,Naděje dožití ve věku 65 let (roky),ženy,2019,19.9411866071
Česko,Naděje dožití ve věku 65 let (roky),ženy,2020,19.1681059257
Česko,Naděje dožití ve věku 65 let (roky),ženy,2021,18.6492811796
Česko,Naděje dožití ve věku 65 let (roky),ženy,2022,19.8138915376
Česko,Naděje dožití ve věku 65 let (roky),ženy,2023,20.43064497
Česko,Naděje dožití ve věku 65 let (roky),muži,2016,16.088107988
Česko,Naděje dožití ve věku 65 let (roky),muži,2017,16.0876868714
Česko,Naděje dožití ve věku 65 let (roky),muži,2018,16.1420802013
Česko,Naděje dožití ve věku 65 let (roky),muži,2019,16.286760354
Česko,Naděje dožití ve věku 65 let (roky),muži,2020,15.2198528412
Česko,Naděje dožití ve věku 65 let (roky),muži,2021,14.5127264111
Česko,Naděje dožití ve věku 65 let (roky),muži,2022,16.0544440493
Česko,Naděje dožití ve věku 65 let (roky),muži,2023,16.69633063
