ČR, kraje, okresy;Ukazatel;Pohlaví;Věkové skupiny;Roky;value
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;50 až 54;2022;30273.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;50 až 54;2021;29181.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;50 až 54;2020;32499.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;50 až 54;2019;25012.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;50 až 54;2018;27341.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;50 až 54;2017;34664.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;50 až 54;2016;45519.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;50 až 54;2015;52828.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;50 až 54;2014;60982.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;55 až 59;2024;
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;55 až 59;2023;37512.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;55 až 59;2022;38025.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;55 až 59;2021;37427.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;55 až 59;2020;40014.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;55 až 59;2019;30810.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;55 až 59;2018;33372.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;55 až 59;2017;41282.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;55 až 59;2016;53703.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;55 až 59;2015;62628.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;55 až 59;2014;72104.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;60 až 64;2024;
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;60 až 64;2023;25840.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;60 až 64;2022;27358.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;60 až 64;2021;27081.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;60 až 64;2020;25283.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;60 až 64;2019;19756.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;60 až 64;2018;21957.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;60 až 64;2017;24778.0
