Ukazatel;Území;Věk ženy (jednoleté skupiny);Roky;value
Rozvody;Česko;32;2021;573.0
Rozvody;Česko;32;2020;558.0
Rozvody;Česko;32;2019;639.0
Rozvody;Česko;32;2018;661.0
Rozvody;Česko;32;2017;761.0
Rozvody;Česko;32;2016;745.0
Rozvody;Česko;32;2015;843.0
Rozvody;Česko;32;2014;811.0
Rozvody;Česko;32;2013;891.0
Rozvody;Česko;32;2012;989.0
Rozvody;Česko;32;2011;1114.0
Rozvody;Česko;32;2010;1261.0
Rozvody;Česko;32;2009;1231.0
Rozvody;Česko;32;2008;1453.0
Rozvody;Česko;32;2007;1548.0
Rozvody;Česko;32;2006;1578.0
Rozvody;Česko;32;2005;1468.0
Rozvody;Česko;32;2004;1446.0
Rozvody;Česko;32;2003;1433.0
Rozvody;Česko;32;2002;1384.0
Rozvody;Česko;32;2001;1237.0
Rozvody;Česko;33;2024;
Rozvody;Česko;33;2023;541.0
Rozvody;Česko;33;2022;593.0
Rozvody;Česko;33;2021;590.0
Rozvody;Česko;33;2020;598.0
Rozvody;Česko;33;2019;734.0
Rozvody;Česko;33;2018;700.0
Rozvody;Česko;33;2017;806.0
Rozvody;Česko;33;2016;810.0
Rozvody;Česko;33;2015;878.0
Rozvody;Česko;33;2014;877.0
Rozvody;Česko;33;2013;1097.0
Rozvody;Česko;33;2012;1066.0
Rozvody;Česko;33;2011;1220.0
Rozvody;Česko;33;2010;1301.0
Rozvody;Česko;33;2009;1361.0
Rozvody;Česko;33;2008;1527.0
Rozvody;Česko;33;2007;1556.0
Rozvody;Česko;33;2006;1512.0
Rozvody;Česko;33;2005;1356.0
Rozvody;Česko;33;2004;1464.0
Rozvody;Česko;33;2003;1382.0
Rozvody;Česko;33;2002;1278.0
Rozvody;Česko;33;2001;1201.0
Rozvody;Česko;34;2024;
Rozvody;Česko;34;2023;572.0
Rozvody;Česko;34;2022;593.0
Rozvody;Česko;34;2021;650.0
Rozvody;Česko;34;2020;669.0
Rozvody;Česko;34;2019;706.0
Rozvody;Česko;34;2018;830.0
Rozvody;Česko;34;2017;839.0
Rozvody;Česko;34;2016;880.0
Rozvody;Česko;34;2015;903.0
Rozvody;Česko;34;2014;1051.0
Rozvody;Česko;34;2013;1117.0
Rozvody;Česko;34;2012;1175.0
Rozvody;Česko;34;2011;1269.0
Rozvody;Česko;34;2010;1471.0
Rozvody;Česko;34;2009;1429.0
Rozvody;Česko;34;2008;1527.0
Rozvody;Česko;34;2007;1454.0
Rozvody;Česko;34;2006;1310.0
Rozvody;Česko;34;2005;1290.0
Rozvody;Česko;34;2004;1374.0
Rozvody;Česko;34;2003;1268.0
Rozvody;Česko;34;2002;1173.0
Rozvody;Česko;34;2001;1193.0
Rozvody;Česko;35;2024;
Rozvody;Česko;35;2023;609.0
Rozvody;Česko;35;2022;623.0
Rozvody;Česko;35;2021;683.0
Rozvody;Česko;35;2020;662.0
Rozvody;Česko;35;2019;824.0
Rozvody;Česko;35;2018;807.0
Rozvody;Česko;35;2017;893.0
Rozvody;Česko;35;2016;924.0
Rozvody;Česko;35;2015;1070.0
Rozvody;Česko;35;2014;1162.0
Rozvody;Česko;35;2013;1332.0
Rozvody;Česko;35;2012;1226.0
Rozvody;Česko;35;2011;1323.0
Rozvody;Česko;35;2010;1559.0
Rozvody;Česko;35;2009;1507.0
Rozvody;Česko;35;2008;1443.0
Rozvody;Česko;35;2007;1321.0
Rozvody;Česko;35;2006;1289.0
Rozvody;Česko;35;2005;1277.0
Rozvody;Česko;35;2004;1209.0
Rozvody;Česko;35;2003;1237.0
Rozvody;Česko;35;2002;1132.0
Rozvody;Česko;35;2001;1174.0
Rozvody;Česko;36;2024;
Rozvody;Česko;36;2023;672.0
Rozvody;Česko;36;2022;622.0
Rozvody;Česko;36;2021;689.0
Rozvody;Česko;36;2020;751.0
Rozvody;Česko;36;2019;855.0
Rozvody;Česko;36;2018;899.0
Rozvody;Česko;36;2017;956.0
Rozvody;Česko;36;2016;1048.0
Rozvody;Česko;36;2015;1180.0
Rozvody;Česko;36;2014;1225.0
Rozvody;Česko;36;2013;1311.0
Rozvody;Česko;36;2012;1374.0
Rozvody;Česko;36;2011;1407.0
Rozvody;Česko;36;2010;1590.0
Rozvody;Česko;36;2009;1381.0
Rozvody;Česko;36;2008;1328.0
Rozvody;Česko;36;2007;1244.0
Rozvody;Česko;36;2006;1279.0
Rozvody;Česko;36;2005;1196.0
Rozvody;Česko;36;2004;1208.0
Rozvody;Česko;36;2003;1199.0
Rozvody;Česko;36;2002;1114.0
Rozvody;Česko;36;2001;1064.0
Rozvody;Česko;37;2024;
Rozvody;Česko;37;2023;663.0
Rozvody;Česko;37;2022;681.0
Rozvody;Česko;37;2021;738.0
Rozvody;Česko;37;2020;759.0
Rozvody;Česko;37;2019;923.0
Rozvody;Česko;37;2018;928.0
